Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
651105 — HCO Bulletin — Five-Way Bracket on Help  [B005-040].txt,1.35%,0.00%,74,Geeignet,1,0,463
781205 — HCO Bulletin — Dianetic Clear Attests - Additional Data  [B102-036].txt,2.21%,0.22%,1356,Geeignet,30,3,7526
600422 — HCO Bulletin — Flattening Terminals  [B027-037].txt,3.32%,0.83%,482,Geeignet,16,4,2755
650124 — HCO Bulletin — Scientology VI - R6EW  [B168-054].txt,3.15%,0.41%,730,Geeignet,23,3,3988
740831R — HCO Bulletin — New Grade Chart  [B098-014].txt,5.33%,0.71%,1126,Ungeeignet,60,8,6332
620503 — HCO Bulletin — ARC Breaks - Missed Withholds  [B038-019].txt,2.27%,0.27%,1854,Geeignet,42,5,10696
820928 — HCO Bulletin — Mixing Rundowns and Repairs  [B064-028].txt,3.69%,0.23%,867,Geeignet,32,2,4872
580820 — HCO Bulletin — Out of Sessionness  [B128-005].txt,4.73%,0.34%,296,Geeignet,14,1,1688
641017 Issue 3 — HCO Bulletin — Clearing - Why It Works - How It Is Necessary  [B030-021].txt,1.83%,0.00%,821,Geeignet,15,0,4484
581217 — HCO Bulletin — Basic Postulate of Overt Act - Motivator Sequence  [B022-092].txt,1.28%,0.00%,156,Geeignet,2,0,965
780323RA — HCO Bulletin — Clearing Words  [B102-002].txt,2.62%,0.00%,993,Geeignet,26,0,5752
600706 — HCO Bulletin — Making Clears and Picking Up HGC Quality  [B036-110].txt,3.68%,0.68%,1034,Geeignet,38,7,5901
690722 Issue 2 — HCO Bulletin — Unflat Chain  [B042-118].txt,5.09%,0.00%,216,Ungeeignet,11,0,1211
700501 — HCO Bulletin — No-Picture Remedy  [B043-037].txt,3.90%,0.00%,231,Geeignet,9,0,1337
"700728 — HCO Bulletin — Exteriorization Intensive Flub and False Declares, An  [B043-076].txt",14.37%,1.96%,967,Ungeeignet,139,19,5995
720503 — HCO Bulletin — Havingness  [B012-101].txt,4.17%,0.48%,623,Geeignet,26,3,3769
580715 — HCO Bulletin — Carrying On  [B034-051].txt,3.37%,1.12%,89,Geeignet,3,1,486
710727 Issue 2 — HCO Bulletin — EP of Word Clearing  [B011-122].txt,5.40%,0.40%,500,Ungeeignet,27,2,2868
651021 — HCO Bulletin — Release Rehabilitation  [B031-029].txt,1.28%,0.73%,545,Geeignet,7,4,3185
770614 — HCO Bulletin — Paid Completions Simplified  [B101-011].txt,3.36%,0.39%,1013,Geeignet,34,4,5842
590626 — HCO Bulletin — 'The following article appeared recently in the London City Press...'  [B023-085].txt,5.83%,0.11%,926,Ungeeignet,54,1,5866
690426 — HCO Bulletin — Somatics  [B042-038].txt,5.78%,0.14%,692,Ungeeignet,40,1,4149
580614 — HCO Bulletin — Standardization of Clear Processes for Guidance and Use of the HGCs  [B034-044].txt,5.16%,0.00%,252,Ungeeignet,13,0,1657
711220 — HCO Bulletin — Use of Correction Lists  [B011-274].txt,3.54%,0.31%,650,Geeignet,23,2,3702
600219 — HCO Bulletin — Letter from a PC  [B024-053].txt,1.36%,0.68%,147,Geeignet,2,1,894
650505 — HCO Bulletin — Application - More on the Application of Scientology to Children  [B031-010].txt,1.31%,0.39%,1298,Geeignet,17,5,7176
640712 — HCO Bulletin — More on O-Ws  [B040-022].txt,3.07%,0.57%,522,Geeignet,16,3,2901
630220 — HCO Bulletin — Routine 2 & 3 Model Session  [B153-003].txt,1.80%,0.09%,1165,Geeignet,21,1,6521
720816 — HCO Bulletin — Flubless CSing  [B012-142].txt,2.44%,0.32%,944,Geeignet,23,3,5175
580220 — HCO Bulletin — How to Test for Clear  [B022-021].txt,7.42%,1.02%,1953,Ungeeignet,145,20,12264
690411 — HCO Bulletin — Dianetic Health Form  [B042-026].txt,5.99%,0.00%,167,Ungeeignet,10,0,1364
"800112 — HCO Bulletin — Page, Last Only  [B104-004].txt",1.56%,1.56%,64,Geeignet,1,1,380
710616 Issue 4 — HCO Bulletin — Low TA Assessing  [B142-046].txt,2.93%,0.49%,205,Geeignet,6,1,1155
600119 — HCO Bulletin — Project Report Sheets  [B036-011].txt,20.93%,4.65%,43,Ungeeignet,9,2,302
620623 — HCO Bulletin — Model Session Revised  [B160-013].txt,5.88%,0.19%,1055,Ungeeignet,62,2,5889
711031 — HCO Bulletin — CS Rules  [B046-042].txt,10.27%,0.27%,370,Ungeeignet,38,1,2166
630408 — HCO Bulletin — Routine 3M2 - Corrected Line Plots  [B063-013].txt,2.16%,0.25%,1205,Geeignet,26,3,6999
690522 — HCO Bulletin — Notes on CS Instructions  [B159-027].txt,1.77%,0.22%,904,Geeignet,16,2,5136
580912 — HCO Bulletin — Post Case Analysis Routine  [B128-008].txt,7.84%,0.00%,102,Ungeeignet,8,0,616
"581227 — HCO Bulletin — First First Dynamic Process, The  [B022-100].txt",2.61%,0.00%,268,Geeignet,7,0,1475
740321 — HCO Bulletin — End Phenomena  [B098-005].txt,1.55%,0.00%,901,Geeignet,14,0,5197
690719 — HCO Bulletin — Dianetics and Illness  [B042-115].txt,5.78%,0.26%,778,Ungeeignet,45,2,4638
"600114 — HCO Bulletin — Black Case, The  [B141-003].txt",1.30%,0.00%,843,Geeignet,11,0,4602
"600114 — HCO Bulletin — Black Case, The  [B024-009].txt",3.47%,0.12%,836,Geeignet,29,1,4560
620315 — HCO Bulletin — Suppressors  [B002-015].txt,5.46%,0.43%,1393,Ungeeignet,76,6,8040
710523 Issue 06 — HCO Bulletin — Auditor Failure to Understand  [B011-061].txt,6.64%,0.00%,482,Ungeeignet,32,0,2733
710831 — HCO Bulletin — Confused Ideas  [B011-147].txt,3.86%,0.30%,337,Geeignet,13,1,2037
590224 — HCO Bulletin — Technical Bulletin - 'It is not only unreasonable...'  [B023-034].txt,3.07%,0.38%,261,Geeignet,8,1,1683
590907 — HCO Bulletin — 'Nina West our HCO WW US PE Foundation Director...'  [B133-053].txt,3.95%,1.16%,430,Geeignet,17,5,2476
601120 — HCO Bulletin — HAS Co-Audit Ended  [B114-041].txt,2.60%,0.00%,692,Geeignet,18,0,4076
690623 — HCO Bulletin — FN  [B042-096].txt,2.50%,0.00%,561,Geeignet,14,0,2985
600206 — HCO Bulletin — Effect Scale  [B036-030].txt,2.68%,0.31%,1307,Geeignet,35,4,7908
781030R — HCO Bulletin — Courses - Their Ideal Scene  [B055-055].txt,7.13%,1.15%,954,Ungeeignet,68,11,5636
710307 — HCO Bulletin — Use of Quadruple Dianetics  [B044-022].txt,8.23%,0.74%,948,Ungeeignet,78,7,5304
"650628 — HCO Bulletin — Releases, Different Kinds  [B040-061].txt",3.04%,0.51%,592,Geeignet,18,3,3348
740410 — HCO Bulletin — Stage Manners  [B098-007].txt,2.71%,0.30%,664,Geeignet,18,2,3885
581201 — HCO Bulletin — 'Permitted to Audit Engrams by Scientology Processes Are...'  [B022-087].txt,8.84%,0.34%,294,Ungeeignet,26,1,1891
600401 — HCO Bulletin — Route to Success in Scientology  [B036-064].txt,3.29%,0.95%,1154,Geeignet,38,11,6887
650921 — HCO Bulletin — Qualifications Technical Actions  [B040-077].txt,19.72%,1.41%,71,Ungeeignet,14,1,488
701004 — HCO Bulletin — Case Supervisor Signature  [B043-103].txt,3.06%,0.00%,98,Geeignet,3,0,560
720409 Issue 03 — HCO Bulletin — Clearing List Words in Scientology - Expanded GF40RR  [B012-072].txt,5.34%,0.84%,356,Ungeeignet,19,3,2604
640817 — HCO Bulletin — R6 Co-Auditing - The Processing of End Words Only  [B168-035].txt,4.20%,0.00%,357,Geeignet,15,0,1955
791206R — HCO Bulletin — Solo Auditor Drills HCOB - Cancelled  [B055-065].txt,4.39%,1.75%,114,Geeignet,5,2,694
"631017 — HCO Bulletin — R-2C Slow Assessment by Dynamics - Directions for Use of HCO Technical Form of October 17, AD13  [B137-006].txt",6.08%,0.13%,756,Ungeeignet,46,1,4196
600922 — HCO Bulletin — Announcing New Technology  [B036-140].txt,9.20%,0.24%,424,Ungeeignet,39,1,2574
610417 — HCO Bulletin — Training Drills Modernized  [B135-004].txt,2.14%,0.09%,2335,Geeignet,50,2,13739
590912 — HCO Bulletin — Programming  [B023-173].txt,3.07%,0.21%,1435,Geeignet,44,3,8018
721216 — HCO Bulletin — Help the PC  [B050-085].txt,1.41%,0.23%,426,Geeignet,6,1,2445
810729 Issue 1 — HCO Bulletin — Full Assist Checklists for Injuries and Illnesses  [B056-077].txt,5.92%,0.39%,1014,Ungeeignet,60,4,6034
720222 — HCO Bulletin — Word Clearing Method 4  [B165-055].txt,15.12%,1.74%,979,Ungeeignet,148,17,5662
641226 — HCO Bulletin — Routine 0A (Expanded)  [B073-005].txt,1.16%,0.15%,688,Geeignet,8,1,3896
720229 — HCO Bulletin — False TA Checklist  [B048-041].txt,7.36%,0.18%,571,Ungeeignet,42,1,3212
591231 — HCO Bulletin — Requirements for HAS Certificates  [B023-285].txt,3.65%,1.46%,137,Geeignet,5,2,877
590630 — HCO Bulletin — 'In a Scientology Organization...'  [B023-106].txt,2.42%,0.40%,495,Geeignet,12,2,2614
730610 Issue 2 — HCO Bulletin — How a Cramming Officer Gets His Products  [B051-043].txt,1.78%,0.09%,2136,Geeignet,38,2,12078
651210 — HCO Bulletin — E-Meter Drill Coaching  [B040-097].txt,1.32%,0.00%,378,Geeignet,5,0,2258
690515 — HCO Bulletin — Dirty Needle  [B151-008].txt,1.71%,0.00%,117,Geeignet,2,0,674
710616 Issue 1RA — HCO Bulletin — Rapid TR-2  [B051-034].txt,5.13%,0.24%,409,Ungeeignet,21,1,2449
720902 — HCO Bulletin — Why Finding Drill - One  [B143-008].txt,2.41%,0.42%,954,Geeignet,23,4,5528
610706 — HCO Bulletin — Routine 1A  [B135-009].txt,2.05%,0.36%,829,Geeignet,17,3,4777
700625 Issue 3 — HCO Bulletin — Fishing a Realization  [B043-063].txt,2.33%,0.69%,729,Geeignet,17,5,4488
"710305 — HCO Bulletin — Fantastic New HGC Line, The  [B011-017].txt",3.09%,0.32%,2522,Geeignet,78,8,13312
591005 — HCO Bulletin — When Is a Process Flat  [B026-007].txt,2.23%,0.39%,761,Geeignet,17,3,4370
690303 — HCO Bulletin — Case Gain - Completing Levels  [B159-010].txt,1.16%,0.17%,602,Geeignet,7,1,3083
720330 — HCO Bulletin — Primary Correction Rundown - First Cramming Correction  [B012-059].txt,7.81%,0.56%,1255,Ungeeignet,98,7,7169
721224 Issue 3 — HCO Bulletin — Integrity Processing Form 03 - Auditor Integrity List  [B050-095].txt,5.77%,0.63%,797,Ungeeignet,46,5,5146
600825 — HCO Bulletin — Powerful Presession Additions  [B141-038].txt,4.96%,0.00%,564,Geeignet,28,0,3310
"750214R — HCO Bulletin — L10, L11 and L12 Prerequisites  [B099-001].txt",11.23%,2.11%,285,Ungeeignet,32,6,1702
701026 — HCO Bulletin — Further Remedy for PCs Unable to Go Backtrack  [B010-122].txt,8.15%,0.00%,135,Ungeeignet,11,0,820
"601125 — HCO Bulletin — New PE, The  [B024-230].txt",1.74%,0.22%,1786,Geeignet,31,4,10217
650823 — HCO Bulletin — Abbreviations and Symbols of Dianetics and Scientology  [B031-021].txt,9.31%,0.97%,1138,Ungeeignet,106,11,8614
630215 — HCO Bulletin — R2 - R3 - Listing Rules  [B003-007].txt,13.58%,4.74%,928,Ungeeignet,126,44,5251
840613 — HCO Bulletin — False Purpose Rundown Correction List  [B079-016].txt,2.46%,0.30%,3653,Geeignet,90,11,20732
650604 — HCO Bulletin — Class II Model Session  [B005-013].txt,2.18%,0.28%,1055,Geeignet,23,3,5979
630901 — HCO Bulletin — Routine 3SC  [B039-046].txt,5.78%,0.28%,1816,Ungeeignet,105,5,10605
701201 — HCO Bulletin — Dianetics - Triple Flow Action  [B010-136].txt,5.38%,0.49%,409,Ungeeignet,22,2,2386
620329 — HCO Bulletin — CCHs Again - When to Use the CCHs  [B038-014].txt,5.18%,0.45%,1101,Ungeeignet,57,5,5972
700615 — HCO Bulletin — Repair Example  [B043-051].txt,5.41%,0.56%,1607,Ungeeignet,87,9,8751
590819 — HCO Bulletin — HAS Co-Audit - Finding Terminals  [B035-100].txt,2.00%,0.00%,350,Geeignet,7,0,1943
640712 — HCO Bulletin — More on O-Ws  [B004-022].txt,2.49%,0.57%,522,Geeignet,13,3,2928
690426 — HCO Bulletin — Bad Indicators  [B075-021].txt,5.22%,0.87%,230,Ungeeignet,12,2,1548
"571102RA — HCO Bulletin — Objective Rundown, An  [B127-008].txt",22.91%,2.20%,454,Ungeeignet,104,10,2743
741201 — HCO Bulletin — Word Clearing Lists for Prepared Lists  [B052-068].txt,12.73%,1.56%,707,Ungeeignet,90,11,4115
570611 — HCO Bulletin — Training and CCH Processes  [B021-030].txt,4.09%,0.43%,6506,Geeignet,266,28,40463
770121RA — HCO Bulletin — False TA Checklist  [B174-022].txt,4.59%,0.10%,3115,Geeignet,143,3,16588
720720 Issue 1 — HCO Bulletin — Primary Correction Rundown Handling  [B012-135].txt,6.14%,0.49%,1026,Ungeeignet,63,5,5467
591223 — HCO Bulletin — Responsibility  [B133-072].txt,1.93%,0.00%,727,Geeignet,14,0,4137
680520 — HCO Bulletin — Overt-Motivator Sequence  [B008-015].txt,5.40%,1.26%,871,Ungeeignet,47,11,5088
711124 — HCO Bulletin — Pressure Somatics in Dianetics  [B047-010].txt,7.37%,1.40%,285,Ungeeignet,21,4,1622
"601107 — HCO Bulletin — Bulletin Check List (WE November 5, 1960)  [B024-220].txt",4.53%,1.29%,309,Geeignet,14,4,1884
600124 — HCO Bulletin — OT Procedure  [B024-020].txt,2.70%,0.00%,296,Geeignet,8,0,1640
"600707 — HCO Bulletin — Assessment of Help, The  [B114-013].txt",3.97%,0.35%,1158,Geeignet,46,4,6227
"700821 — HCO Bulletin — Session Grading - Well Done, Definition Of  [B010-100].txt",5.08%,0.11%,886,Ungeeignet,45,1,5154
650604 — HCO Bulletin — Class II Model Session  [B148-008].txt,1.99%,0.09%,1055,Geeignet,21,1,5968
"650310 — HCO Bulletin — Words, Misunderstood Goofs  [B168-050].txt",1.74%,0.00%,517,Geeignet,9,0,2948
720831 Issue 3 — HCO Bulletin — Mid-Confessional Short Assessment  [B050-015].txt,4.52%,0.28%,354,Geeignet,16,1,2024
730324 — HCO Bulletin — PTS Rundown Errors  [B013-007].txt,3.03%,0.83%,363,Geeignet,11,3,2031
711023 Issue 2 — HCO Bulletin — Personnel Programming Technology  [B046-028].txt,7.75%,0.00%,826,Ungeeignet,64,0,4973
691003 — HCO Bulletin — Dianetic Remedies  [B159-047].txt,3.06%,0.10%,1012,Geeignet,31,1,5792
671011 — HCO Bulletin — Clay Table Training  [B007-015].txt,2.35%,0.00%,511,Geeignet,12,0,2988
"781229R — HCO Bulletin — Suppressed Person Rundown - A Magical New Rundown, The  [B061-037].txt",7.01%,0.27%,1869,Ungeeignet,131,5,10907
600325 — HCO Bulletin — Promotion for the PE and Co-Audit  [B024-086].txt,3.85%,0.64%,312,Geeignet,12,2,1794
730120R — HCO Bulletin Attachment — Example - PC Examiner Red Tag Log Book  [B051-023].txt,2.48%,7.44%,121,Ungeeignet,3,9,613
600328 — HCO Bulletin — Letter from Wing and Smokey Angell  [B134-005].txt,2.56%,0.28%,352,Geeignet,9,1,2051
820413 — HCO Bulletin — Still Needle and Confessionals  [B061-012].txt,0.75%,0.25%,402,Geeignet,3,1,2176
721228R — HCO Bulletin — Auditor's Rights Addition  [B051-021].txt,3.24%,0.25%,401,Geeignet,13,1,2317
800630R — HCO Bulletin — Student Rehabilitation List Words  [B059-011].txt,3.33%,0.21%,481,Geeignet,16,1,3207
610202 — HCO Bulletin — UK Cases Different  [B037-009].txt,1.18%,0.94%,424,Geeignet,5,4,2374
711005 — HCO Bulletin — FNing Auditors  [B046-004].txt,4.67%,0.00%,321,Geeignet,15,0,1836
750423RA — HCO Bulletin — Vanishing Cream and False TA  [B055-039].txt,9.26%,0.19%,529,Ungeeignet,49,1,3028
640707 — HCO Bulletin — Justifications  [B030-006].txt,3.95%,0.28%,354,Geeignet,14,1,2003
"690519 — HCO Bulletin — Health Form, Use Of - A Brief Description of Auditing  [B159-024].txt",2.54%,0.08%,1260,Geeignet,32,1,6902
600115 — HCO Bulletin — PAB Mailings  [B024-010].txt,2.97%,1.98%,101,Geeignet,3,2,676
631008 — HCO Bulletin — How to Get TA - Analyzing Auditing  [B039-057].txt,9.85%,0.45%,1107,Ungeeignet,109,5,6525
840118 — HCO Bulletin — How to Audit the HRD  [B107-004].txt,4.40%,0.67%,1953,Geeignet,86,13,11032
800521 — HCO Bulletin — Purification Rundown Case Data  [B056-020].txt,1.83%,0.11%,9746,Geeignet,178,11,56798
720404 Issue 3R — HCO Bulletin — Ethics and Study Tech  [B096-017].txt,0.98%,0.00%,816,Geeignet,8,0,4978
840614 — HCO Bulletin — False Purpose Rundown Basic Form  [B057-065].txt,1.11%,0.10%,995,Geeignet,11,1,6139
790215 — HCO Bulletin — Verbal Tech - Penalties  [B055-060].txt,3.01%,0.75%,133,Geeignet,4,1,830
630809 — HCO Bulletin — Definition of Release  [B003-052].txt,4.17%,0.00%,72,Geeignet,3,0,437
801112 Issue 2 — HCO Bulletin — Registrar and Sales Personnel Confessional List  [B171-001].txt,1.62%,0.06%,1544,Geeignet,25,1,9482
600218 — HCO Bulletin — How to Run O-W and Responsibility  [B024-047].txt,14.80%,0.67%,1351,Ungeeignet,200,9,8494
720219R — HCO Bulletin — Dating-Locating  [B051-039].txt,7.17%,0.66%,753,Ungeeignet,54,5,4544
610201 — HCO Bulletin — Security Checks  [B037-008].txt,3.36%,0.28%,715,Geeignet,24,2,4143
591005 — HCO Bulletin — When Is a Process Flat  [B133-061].txt,4.49%,0.94%,534,Geeignet,24,5,3098
801006 Issue 2 — HCO Bulletin — Supervisor Confessional List  [B059-025].txt,1.40%,0.43%,928,Geeignet,13,4,5943
"731203 — HCO Bulletin — Checklist of Processes for the Help Rundown, A  [B051-075].txt",5.40%,2.04%,3130,Ungeeignet,169,64,18725
610605 — HCO Bulletin — Processes Allowed  [B028-030].txt,3.78%,0.38%,1850,Geeignet,70,7,10242
811111 — HCO Bulletin — Cancellation of Destructive Issue  [B060-018].txt,2.42%,0.97%,207,Geeignet,5,2,1194
780908RA — HCO Bulletin — Mini List of Grade 0-IV Processes  [B055-052].txt,9.04%,0.78%,774,Ungeeignet,70,6,4480
600203 — HCO Bulletin — Security Check  [B024-029].txt,6.25%,0.00%,176,Ungeeignet,11,0,1087
"690527 — HCO Bulletin — VIII's Nightmare, The  [B009-096].txt",6.08%,0.00%,263,Ungeeignet,16,0,1456
840225 — HCO Bulletin — Depth Perspective  [B057-044].txt,1.74%,0.25%,403,Geeignet,7,1,2462
600718 — HCO Bulletin — Information on HASI Ltd and HCO Ltd Status  [B024-168].txt,25.78%,1.56%,706,Ungeeignet,182,11,4441
710405 — HCO Bulletin — Triple and Quad Reruns  [B130-012].txt,3.01%,0.83%,1330,Geeignet,40,11,7225
