Dateiname,Dateigröße,Datum,LRH,Nicht-LRH,Schlussfolgerung,Model
711009 Issue 2 — HCO Bulletin — Drills Course for Auditors - Level 0 Drills  [B011-189].txt,35365,17-10-24 14:45,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-large
570902 — HCO Bulletin — 'When a verbal direction is given...'  [B021-057].txt,598,17-10-24 14:45,0.0077,0.9923,Wahrscheinlich Nicht-LRH,roberta-large
800214R — HCO Bulletin — Research Data on Nutritional Vitamin Increases on the Purification Rundown  [B056-004].txt,14539,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
810729 Issue 1 — HCO Bulletin Attachment — Full Assist Checklists for Injuries and Illnesses - Attachment 1  [B165-008].txt,3936,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
"581103 — HCO Bulletin — American College of Personnel Efficiency, Dublin  [B034-079].txt",561,17-10-24 14:45,0.0243,0.9757,Wahrscheinlich Nicht-LRH,roberta-large
590718 — HCO Bulletin — Technically Speaking  [B113-009].txt,808,17-10-24 14:45,0.9999,0.0001,Wahrscheinlich LRH,roberta-large
590313 — HCO Bulletin — Muzzled Auditing  [B035-029].txt,568,17-10-24 14:45,0.0065,0.9935,Wahrscheinlich Nicht-LRH,roberta-large
630814 — HCO Bulletin — Lecture Graphs  [B153-042].txt,596,17-10-24 14:45,0.9824,0.0176,Wahrscheinlich LRH,roberta-large
"591020 — HCO Bulletin — Experimental Process, An  [B071-036].txt",2459,17-10-24 14:45,0.0081,0.9919,Wahrscheinlich Nicht-LRH,roberta-large
700126 — HCO Bulletin — Examiner and Floating Needle  [B043-010].txt,1643,17-10-24 14:45,0.9950,0.0050,Wahrscheinlich LRH,roberta-large
560803 — HCO Bulletin — Organizational Health Chart  [B042-158].txt,5094,17-10-24 14:45,0.2222,0.7778,Wahrscheinlich Nicht-LRH,roberta-large
690716 — HCO Bulletin — Urgent - Important - 'I have made a breakthrough in auditor training...'  [B009-124].txt,3682,17-10-24 14:45,0.0141,0.9859,Wahrscheinlich Nicht-LRH,roberta-large
710113 — HCO Bulletin — Exteriorization  [B044-008].txt,3733,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
"780924 Issue 1RB — HCO Bulletin — End of Endless Int Repair Rundown, The  [B102-020].txt",22860,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B139-039].txt,555,17-10-24 14:45,0.9997,0.0003,Wahrscheinlich LRH,roberta-large
631002 — HCO Bulletin — GPMs - Experimental Process Withdrawn  [B039-056].txt,758,17-10-24 14:45,0.0062,0.9938,Wahrscheinlich Nicht-LRH,roberta-large
690710 Issue 3 — HCO Bulletin — Former Therapies and Earlier Practices  [B042-106].txt,643,17-10-24 14:45,0.0088,0.9912,Wahrscheinlich Nicht-LRH,roberta-large
600316 — HCO Bulletin — ACC Arrangements  [B027-021].txt,546,17-10-24 14:45,0.9996,0.0004,Wahrscheinlich LRH,roberta-large
580528 — HCO Bulletin — Procedure for Certifying Clears  [B034-039].txt,1233,17-10-24 14:45,0.0099,0.9901,Wahrscheinlich Nicht-LRH,roberta-large
780805 — HCO Bulletin — Instant Reads  [B169-007].txt,1201,17-10-24 14:45,0.2259,0.7741,Wahrscheinlich Nicht-LRH,roberta-large
"630304 — HCO Bulletin — Routine 2-10, 2-12, 2-12A  [B039-005].txt",1685,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
720430 Issue 1 — HCO Bulletin — Expanded Dianetics Series 6  [B049-034].txt,1680,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
690424 Issue 2 — HCO Bulletin — Dianetic Results  [B009-047].txt,2486,17-10-24 14:45,0.3085,0.6915,Wahrscheinlich Nicht-LRH,roberta-large
711201 Issue 3 — HCO Bulletin — Rising Scale Processing  [B011-248].txt,2190,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
641101 — HCO Bulletin — More Clay Table Clearing Goofs  [B066-016].txt,6257,17-10-24 14:45,0.9996,0.0004,Wahrscheinlich LRH,roberta-large
600706 — HCO Bulletin — Calling All Auditors about Help  [B140-011].txt,3261,17-10-24 14:45,0.0056,0.9944,Wahrscheinlich Nicht-LRH,roberta-large
610608 — HCO Bulletin — E-Meter Watching - Are You Waiting for the Meter to Play Dixie  [B001-054].txt,6851,17-10-24 14:45,0.0025,0.9975,Wahrscheinlich Nicht-LRH,roberta-large
600312 — HCO Bulletin — Appreciation  [B027-022].txt,601,17-10-24 14:45,0.9974,0.0026,Wahrscheinlich LRH,roberta-large
700119 — HCO Bulletin — Registrar's Advice Form  [B043-004].txt,1563,17-10-24 14:45,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-large
720204 — HCO Bulletin — Study Correction List Revised  [B048-035].txt,29910,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
820310 — HCO Bulletin — Confessionals - Ethics Reports Required  [B064-008].txt,5901,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
600206 — HCO Bulletin — Effect Scale  [B141-010].txt,7882,17-10-24 14:45,0.0456,0.9544,Wahrscheinlich Nicht-LRH,roberta-large
710319 — HCO Bulletin — CSing Auditor - CSes  [B078-029].txt,6560,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
700710 Issue 2 — HCO Bulletin — Interiorization Intensive Goof  [B010-075].txt,2722,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
581126 — HCO Bulletin — ACCs  [B022-084].txt,665,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
"620521 — HCO Bulletin — Missed Withholds, Asking About  [B002-027].txt",872,17-10-24 14:45,0.4168,0.5832,Wahrscheinlich Nicht-LRH,roberta-large
640707 — HCO Bulletin — Justifications  [B040-018].txt,2004,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
590811 — HCO Bulletin — Cost of Supplies  [B035-094].txt,2633,17-10-24 14:45,0.0058,0.9942,Wahrscheinlich Nicht-LRH,roberta-large
710308 — HCO Bulletin — Examiner's Form  [B012-178].txt,1550,17-10-24 14:45,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-large
821013 — HCO Bulletin — Ethics and the CS  [B057-016].txt,7939,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
561109 — HCO Bulletin — Activities of Legal Department  [B020-027].txt,659,17-10-24 14:45,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-large
700714 Issue 2 — HCO Bulletin — Additional Data on Erasing-Solid  [B010-076].txt,529,17-10-24 14:45,0.0263,0.9737,Wahrscheinlich Nicht-LRH,roberta-large
690902 — HCO Bulletin — Dianetics - The E-Meter Defined  [B093-026].txt,792,17-10-24 14:45,0.9998,0.0002,Wahrscheinlich LRH,roberta-large
"710523 Issue 02R — HCO Bulletin — Two Parts of Auditing, The  [B052-074].txt",10232,17-10-24 14:45,0.0177,0.9823,Wahrscheinlich Nicht-LRH,roberta-large
"590921 — HCO Bulletin — Idea for Promotion, An  [B084-007].txt",4027,17-10-24 14:45,0.4284,0.5716,Wahrscheinlich Nicht-LRH,roberta-large
700327 Issue 2 — HCO Bulletin — Green Form  [B043-026].txt,618,17-10-24 14:45,0.0020,0.9980,Wahrscheinlich Nicht-LRH,roberta-large
720616R — HCO Bulletin — Auditor's Rights Modified  [B131-004].txt,3436,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
"720603 — HCO Bulletin — PTS Rundown, Final Step  [B049-051].txt",2388,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
720430 Issue 1 — HCO Bulletin — Expanded Dianetics Series 6  [B012-097].txt,1676,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
801105 — HCO Bulletin — Returning Tours Confessional  [B059-031].txt,4417,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
720720 Issue 2 — HCO Bulletin — Distractive and Additive Questions and Orders  [B050-003].txt,1813,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
580502 — HCO Bulletin — Beingness Again  [B022-045].txt,5517,17-10-24 14:45,0.9999,0.0001,Wahrscheinlich LRH,roberta-large
691005 — HCO Bulletin — Triple Flows  [B042-142].txt,4746,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
651105 — HCO Bulletin — Five-Way Bracket on Help  [B005-040].txt,463,17-10-24 14:45,0.9486,0.0514,Wahrscheinlich LRH,roberta-large
781205 — HCO Bulletin — Dianetic Clear Attests - Additional Data  [B102-036].txt,7526,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
600422 — HCO Bulletin — Flattening Terminals  [B027-037].txt,2755,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
650124 — HCO Bulletin — Scientology VI - R6EW  [B168-054].txt,3988,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
740831R — HCO Bulletin — New Grade Chart  [B098-014].txt,6332,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
620503 — HCO Bulletin — ARC Breaks - Missed Withholds  [B038-019].txt,10696,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
820928 — HCO Bulletin — Mixing Rundowns and Repairs  [B064-028].txt,4872,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
580820 — HCO Bulletin — Out of Sessionness  [B128-005].txt,1688,17-10-24 14:45,0.0129,0.9871,Wahrscheinlich Nicht-LRH,roberta-large
641017 Issue 3 — HCO Bulletin — Clearing - Why It Works - How It Is Necessary  [B030-021].txt,4484,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
581217 — HCO Bulletin — Basic Postulate of Overt Act - Motivator Sequence  [B022-092].txt,965,17-10-24 14:45,0.2110,0.7890,Wahrscheinlich Nicht-LRH,roberta-large
780323RA — HCO Bulletin — Clearing Words  [B102-002].txt,5752,17-10-24 14:45,0.0056,0.9944,Wahrscheinlich Nicht-LRH,roberta-large
600706 — HCO Bulletin — Making Clears and Picking Up HGC Quality  [B036-110].txt,5901,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
690722 Issue 2 — HCO Bulletin — Unflat Chain  [B042-118].txt,1211,17-10-24 14:45,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-large
700501 — HCO Bulletin — No-Picture Remedy  [B043-037].txt,1337,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
"700728 — HCO Bulletin — Exteriorization Intensive Flub and False Declares, An  [B043-076].txt",5995,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
720503 — HCO Bulletin — Havingness  [B012-101].txt,3769,17-10-24 14:45,0.9988,0.0012,Wahrscheinlich LRH,roberta-large
580715 — HCO Bulletin — Carrying On  [B034-051].txt,486,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
710727 Issue 2 — HCO Bulletin — EP of Word Clearing  [B011-122].txt,2868,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
651021 — HCO Bulletin — Release Rehabilitation  [B031-029].txt,3185,17-10-24 14:45,0.0189,0.9811,Wahrscheinlich Nicht-LRH,roberta-large
770614 — HCO Bulletin — Paid Completions Simplified  [B101-011].txt,5842,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
590626 — HCO Bulletin — 'The following article appeared recently in the London City Press...'  [B023-085].txt,5866,17-10-24 14:45,0.9445,0.0555,Wahrscheinlich LRH,roberta-large
690426 — HCO Bulletin — Somatics  [B042-038].txt,4149,17-10-24 14:45,0.0268,0.9732,Wahrscheinlich Nicht-LRH,roberta-large
580614 — HCO Bulletin — Standardization of Clear Processes for Guidance and Use of the HGCs  [B034-044].txt,1657,17-10-24 14:45,0.9997,0.0003,Wahrscheinlich LRH,roberta-large
711220 — HCO Bulletin — Use of Correction Lists  [B011-274].txt,3702,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
600219 — HCO Bulletin — Letter from a PC  [B024-053].txt,894,17-10-24 14:45,0.9986,0.0014,Wahrscheinlich LRH,roberta-large
650505 — HCO Bulletin — Application - More on the Application of Scientology to Children  [B031-010].txt,7176,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
640712 — HCO Bulletin — More on O-Ws  [B040-022].txt,2901,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
630220 — HCO Bulletin — Routine 2 & 3 Model Session  [B153-003].txt,6521,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
720816 — HCO Bulletin — Flubless CSing  [B012-142].txt,5175,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
580220 — HCO Bulletin — How to Test for Clear  [B022-021].txt,12264,17-10-24 14:45,0.9963,0.0037,Wahrscheinlich LRH,roberta-large
690411 — HCO Bulletin — Dianetic Health Form  [B042-026].txt,1364,17-10-24 14:45,0.9995,0.0005,Wahrscheinlich LRH,roberta-large
"800112 — HCO Bulletin — Page, Last Only  [B104-004].txt",380,17-10-24 14:45,0.9998,0.0002,Wahrscheinlich LRH,roberta-large
710616 Issue 4 — HCO Bulletin — Low TA Assessing  [B142-046].txt,1155,17-10-24 14:45,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-large
600119 — HCO Bulletin — Project Report Sheets  [B036-011].txt,302,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
620623 — HCO Bulletin — Model Session Revised  [B160-013].txt,5889,17-10-24 14:45,0.0952,0.9048,Wahrscheinlich Nicht-LRH,roberta-large
711031 — HCO Bulletin — CS Rules  [B046-042].txt,2166,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
630408 — HCO Bulletin — Routine 3M2 - Corrected Line Plots  [B063-013].txt,6999,17-10-24 14:45,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-large
690522 — HCO Bulletin — Notes on CS Instructions  [B159-027].txt,5136,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
580912 — HCO Bulletin — Post Case Analysis Routine  [B128-008].txt,616,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
"581227 — HCO Bulletin — First First Dynamic Process, The  [B022-100].txt",1475,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
740321 — HCO Bulletin — End Phenomena  [B098-005].txt,5197,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
690719 — HCO Bulletin — Dianetics and Illness  [B042-115].txt,4638,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
"600114 — HCO Bulletin — Black Case, The  [B141-003].txt",4602,17-10-24 14:45,0.9731,0.0269,Wahrscheinlich LRH,roberta-large
"600114 — HCO Bulletin — Black Case, The  [B024-009].txt",4560,17-10-24 14:45,0.0199,0.9801,Wahrscheinlich Nicht-LRH,roberta-large
620315 — HCO Bulletin — Suppressors  [B002-015].txt,8040,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
710523 Issue 06 — HCO Bulletin — Auditor Failure to Understand  [B011-061].txt,2733,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
710831 — HCO Bulletin — Confused Ideas  [B011-147].txt,2037,17-10-24 14:45,0.9875,0.0125,Wahrscheinlich LRH,roberta-large
590224 — HCO Bulletin — Technical Bulletin - 'It is not only unreasonable...'  [B023-034].txt,1683,17-10-24 14:45,0.9998,0.0002,Wahrscheinlich LRH,roberta-large
590907 — HCO Bulletin — 'Nina West our HCO WW US PE Foundation Director...'  [B133-053].txt,2476,17-10-24 14:45,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-large
601120 — HCO Bulletin — HAS Co-Audit Ended  [B114-041].txt,4076,17-10-24 14:45,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-large
690623 — HCO Bulletin — FN  [B042-096].txt,2985,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
600206 — HCO Bulletin — Effect Scale  [B036-030].txt,7908,17-10-24 14:45,0.0567,0.9433,Wahrscheinlich Nicht-LRH,roberta-large
781030R — HCO Bulletin — Courses - Their Ideal Scene  [B055-055].txt,5636,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
710307 — HCO Bulletin — Use of Quadruple Dianetics  [B044-022].txt,5304,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
"650628 — HCO Bulletin — Releases, Different Kinds  [B040-061].txt",3348,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
740410 — HCO Bulletin — Stage Manners  [B098-007].txt,3885,17-10-24 14:45,0.8817,0.1183,Wahrscheinlich LRH,roberta-large
581201 — HCO Bulletin — 'Permitted to Audit Engrams by Scientology Processes Are...'  [B022-087].txt,1891,17-10-24 14:45,0.0020,0.9980,Wahrscheinlich Nicht-LRH,roberta-large
600401 — HCO Bulletin — Route to Success in Scientology  [B036-064].txt,6887,17-10-24 14:45,0.9996,0.0004,Wahrscheinlich LRH,roberta-large
650921 — HCO Bulletin — Qualifications Technical Actions  [B040-077].txt,488,17-10-24 14:45,0.5307,0.4693,Nicht eindeutig,roberta-large
701004 — HCO Bulletin — Case Supervisor Signature  [B043-103].txt,560,17-10-24 14:45,0.1908,0.8092,Wahrscheinlich Nicht-LRH,roberta-large
720409 Issue 03 — HCO Bulletin — Clearing List Words in Scientology - Expanded GF40RR  [B012-072].txt,2604,17-10-24 14:45,0.0003,0.9997,Wahrscheinlich Nicht-LRH,roberta-large
640817 — HCO Bulletin — R6 Co-Auditing - The Processing of End Words Only  [B168-035].txt,1955,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
791206R — HCO Bulletin — Solo Auditor Drills HCOB - Cancelled  [B055-065].txt,694,17-10-24 14:45,0.0077,0.9923,Wahrscheinlich Nicht-LRH,roberta-large
"631017 — HCO Bulletin — R-2C Slow Assessment by Dynamics - Directions for Use of HCO Technical Form of October 17, AD13  [B137-006].txt",4196,17-10-24 14:45,0.0003,0.9997,Wahrscheinlich Nicht-LRH,roberta-large
600922 — HCO Bulletin — Announcing New Technology  [B036-140].txt,2574,17-10-24 14:45,0.9995,0.0005,Wahrscheinlich LRH,roberta-large
610417 — HCO Bulletin — Training Drills Modernized  [B135-004].txt,13739,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
590912 — HCO Bulletin — Programming  [B023-173].txt,8018,17-10-24 14:45,0.9472,0.0528,Wahrscheinlich LRH,roberta-large
721216 — HCO Bulletin — Help the PC  [B050-085].txt,2445,17-10-24 14:45,0.5008,0.4992,Nicht eindeutig,roberta-large
810729 Issue 1 — HCO Bulletin — Full Assist Checklists for Injuries and Illnesses  [B056-077].txt,6034,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
720222 — HCO Bulletin — Word Clearing Method 4  [B165-055].txt,5662,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
641226 — HCO Bulletin — Routine 0A (Expanded)  [B073-005].txt,3896,17-10-24 14:45,0.0207,0.9793,Wahrscheinlich Nicht-LRH,roberta-large
720229 — HCO Bulletin — False TA Checklist  [B048-041].txt,3212,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
591231 — HCO Bulletin — Requirements for HAS Certificates  [B023-285].txt,877,17-10-24 14:45,0.0161,0.9839,Wahrscheinlich Nicht-LRH,roberta-large
590630 — HCO Bulletin — 'In a Scientology Organization...'  [B023-106].txt,2614,17-10-24 14:45,0.5676,0.4324,Wahrscheinlich LRH,roberta-large
730610 Issue 2 — HCO Bulletin — How a Cramming Officer Gets His Products  [B051-043].txt,12078,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
651210 — HCO Bulletin — E-Meter Drill Coaching  [B040-097].txt,2258,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
690515 — HCO Bulletin — Dirty Needle  [B151-008].txt,674,17-10-24 14:45,0.0142,0.9858,Wahrscheinlich Nicht-LRH,roberta-large
710616 Issue 1RA — HCO Bulletin — Rapid TR-2  [B051-034].txt,2449,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
720902 — HCO Bulletin — Why Finding Drill - One  [B143-008].txt,5528,17-10-24 14:45,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-large
610706 — HCO Bulletin — Routine 1A  [B135-009].txt,4777,17-10-24 14:45,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-large
700625 Issue 3 — HCO Bulletin — Fishing a Realization  [B043-063].txt,4488,17-10-24 14:45,0.1190,0.8810,Wahrscheinlich Nicht-LRH,roberta-large
"710305 — HCO Bulletin — Fantastic New HGC Line, The  [B011-017].txt",13312,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
591005 — HCO Bulletin — When Is a Process Flat  [B026-007].txt,4370,17-10-24 14:45,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-large
690303 — HCO Bulletin — Case Gain - Completing Levels  [B159-010].txt,3083,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
720330 — HCO Bulletin — Primary Correction Rundown - First Cramming Correction  [B012-059].txt,7169,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
721224 Issue 3 — HCO Bulletin — Integrity Processing Form 03 - Auditor Integrity List  [B050-095].txt,5146,17-10-24 14:45,0.0040,0.9960,Wahrscheinlich Nicht-LRH,roberta-large
600825 — HCO Bulletin — Powerful Presession Additions  [B141-038].txt,3310,17-10-24 14:45,0.0091,0.9909,Wahrscheinlich Nicht-LRH,roberta-large
"750214R — HCO Bulletin — L10, L11 and L12 Prerequisites  [B099-001].txt",1702,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
701026 — HCO Bulletin — Further Remedy for PCs Unable to Go Backtrack  [B010-122].txt,820,17-10-24 14:45,0.0204,0.9796,Wahrscheinlich Nicht-LRH,roberta-large
"601125 — HCO Bulletin — New PE, The  [B024-230].txt",10217,17-10-24 14:45,0.1609,0.8391,Wahrscheinlich Nicht-LRH,roberta-large
650823 — HCO Bulletin — Abbreviations and Symbols of Dianetics and Scientology  [B031-021].txt,8614,17-10-24 14:45,0.9960,0.0040,Wahrscheinlich LRH,roberta-large
630215 — HCO Bulletin — R2 - R3 - Listing Rules  [B003-007].txt,5251,17-10-24 14:45,0.0026,0.9974,Wahrscheinlich Nicht-LRH,roberta-large
840613 — HCO Bulletin — False Purpose Rundown Correction List  [B079-016].txt,20732,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
650604 — HCO Bulletin — Class II Model Session  [B005-013].txt,5979,17-10-24 14:45,0.0063,0.9937,Wahrscheinlich Nicht-LRH,roberta-large
630901 — HCO Bulletin — Routine 3SC  [B039-046].txt,10605,17-10-24 14:45,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-large
701201 — HCO Bulletin — Dianetics - Triple Flow Action  [B010-136].txt,2386,17-10-24 14:45,0.0002,0.9998,Wahrscheinlich Nicht-LRH,roberta-large
620329 — HCO Bulletin — CCHs Again - When to Use the CCHs  [B038-014].txt,5972,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
700615 — HCO Bulletin — Repair Example  [B043-051].txt,8751,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
590819 — HCO Bulletin — HAS Co-Audit - Finding Terminals  [B035-100].txt,1943,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
640712 — HCO Bulletin — More on O-Ws  [B004-022].txt,2928,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
690426 — HCO Bulletin — Bad Indicators  [B075-021].txt,1548,17-10-24 14:45,0.0045,0.9955,Wahrscheinlich Nicht-LRH,roberta-large
