Dateiname,Dateigröße,Datum,LRH,Nicht-LRH,Schlussfolgerung,Model
610608 — HCO Bulletin — E-Meter Watching - Are You Waiting for the Meter to Play Dixie  [B001-054].txt,6851,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
600312 — HCO Bulletin — Appreciation  [B027-022].txt,601,16-10-24 22:02,0.2482,0.7518,Wahrscheinlich Nicht-LRH,roberta-base
700119 — HCO Bulletin — Registrar's Advice Form  [B043-004].txt,1563,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
720204 — HCO Bulletin — Study Correction List Revised  [B048-035].txt,29910,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
820310 — HCO Bulletin — Confessionals - Ethics Reports Required  [B064-008].txt,5901,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
600206 — HCO Bulletin — Effect Scale  [B141-010].txt,7882,16-10-24 22:02,0.0146,0.9854,Wahrscheinlich Nicht-LRH,roberta-base
710319 — HCO Bulletin — CSing Auditor - CSes  [B078-029].txt,6560,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
700710 Issue 2 — HCO Bulletin — Interiorization Intensive Goof  [B010-075].txt,2722,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
581126 — HCO Bulletin — ACCs  [B022-084].txt,665,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
"620521 — HCO Bulletin — Missed Withholds, Asking About  [B002-027].txt",872,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
640707 — HCO Bulletin — Justifications  [B040-018].txt,2004,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
590811 — HCO Bulletin — Cost of Supplies  [B035-094].txt,2633,16-10-24 22:02,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-base
710308 — HCO Bulletin — Examiner's Form  [B012-178].txt,1550,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
821013 — HCO Bulletin — Ethics and the CS  [B057-016].txt,7939,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
561109 — HCO Bulletin — Activities of Legal Department  [B020-027].txt,659,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
700714 Issue 2 — HCO Bulletin — Additional Data on Erasing-Solid  [B010-076].txt,529,16-10-24 22:02,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-base
690902 — HCO Bulletin — Dianetics - The E-Meter Defined  [B093-026].txt,792,16-10-24 22:02,0.9924,0.0076,Wahrscheinlich LRH,roberta-base
"710523 Issue 02R — HCO Bulletin — Two Parts of Auditing, The  [B052-074].txt",10232,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
"590921 — HCO Bulletin — Idea for Promotion, An  [B084-007].txt",4027,16-10-24 22:02,0.0016,0.9984,Wahrscheinlich Nicht-LRH,roberta-base
700327 Issue 2 — HCO Bulletin — Green Form  [B043-026].txt,618,16-10-24 22:02,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-base
720616R — HCO Bulletin — Auditor's Rights Modified  [B131-004].txt,3436,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
"720603 — HCO Bulletin — PTS Rundown, Final Step  [B049-051].txt",2388,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
720430 Issue 1 — HCO Bulletin — Expanded Dianetics Series 6  [B012-097].txt,1676,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
801105 — HCO Bulletin — Returning Tours Confessional  [B059-031].txt,4417,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
720720 Issue 2 — HCO Bulletin — Distractive and Additive Questions and Orders  [B050-003].txt,1813,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
580502 — HCO Bulletin — Beingness Again  [B022-045].txt,5517,16-10-24 22:02,0.9790,0.0210,Wahrscheinlich LRH,roberta-base
691005 — HCO Bulletin — Triple Flows  [B042-142].txt,4746,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
651105 — HCO Bulletin — Five-Way Bracket on Help  [B005-040].txt,463,16-10-24 22:02,0.1409,0.8591,Wahrscheinlich Nicht-LRH,roberta-base
781205 — HCO Bulletin — Dianetic Clear Attests - Additional Data  [B102-036].txt,7526,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
600422 — HCO Bulletin — Flattening Terminals  [B027-037].txt,2755,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
650124 — HCO Bulletin — Scientology VI - R6EW  [B168-054].txt,3988,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
740831R — HCO Bulletin — New Grade Chart  [B098-014].txt,6332,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
620503 — HCO Bulletin — ARC Breaks - Missed Withholds  [B038-019].txt,10696,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
820928 — HCO Bulletin — Mixing Rundowns and Repairs  [B064-028].txt,4872,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
580820 — HCO Bulletin — Out of Sessionness  [B128-005].txt,1688,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
641017 Issue 3 — HCO Bulletin — Clearing - Why It Works - How It Is Necessary  [B030-021].txt,4484,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
581217 — HCO Bulletin — Basic Postulate of Overt Act - Motivator Sequence  [B022-092].txt,965,16-10-24 22:02,0.0017,0.9983,Wahrscheinlich Nicht-LRH,roberta-base
780323RA — HCO Bulletin — Clearing Words  [B102-002].txt,5752,16-10-24 22:02,0.0015,0.9985,Wahrscheinlich Nicht-LRH,roberta-base
600706 — HCO Bulletin — Making Clears and Picking Up HGC Quality  [B036-110].txt,5901,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
690722 Issue 2 — HCO Bulletin — Unflat Chain  [B042-118].txt,1211,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
700501 — HCO Bulletin — No-Picture Remedy  [B043-037].txt,1337,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"700728 — HCO Bulletin — Exteriorization Intensive Flub and False Declares, An  [B043-076].txt",5995,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
720503 — HCO Bulletin — Havingness  [B012-101].txt,3769,16-10-24 22:02,0.0097,0.9903,Wahrscheinlich Nicht-LRH,roberta-base
580715 — HCO Bulletin — Carrying On  [B034-051].txt,486,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
710727 Issue 2 — HCO Bulletin — EP of Word Clearing  [B011-122].txt,2868,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
651021 — HCO Bulletin — Release Rehabilitation  [B031-029].txt,3185,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
770614 — HCO Bulletin — Paid Completions Simplified  [B101-011].txt,5842,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
590626 — HCO Bulletin — 'The following article appeared recently in the London City Press...'  [B023-085].txt,5866,16-10-24 22:02,0.8150,0.1850,Wahrscheinlich LRH,roberta-base
690426 — HCO Bulletin — Somatics  [B042-038].txt,4149,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
580614 — HCO Bulletin — Standardization of Clear Processes for Guidance and Use of the HGCs  [B034-044].txt,1657,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
711220 — HCO Bulletin — Use of Correction Lists  [B011-274].txt,3702,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
600219 — HCO Bulletin — Letter from a PC  [B024-053].txt,894,16-10-24 22:02,0.0131,0.9869,Wahrscheinlich Nicht-LRH,roberta-base
650505 — HCO Bulletin — Application - More on the Application of Scientology to Children  [B031-010].txt,7176,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
640712 — HCO Bulletin — More on O-Ws  [B040-022].txt,2901,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
630220 — HCO Bulletin — Routine 2 & 3 Model Session  [B153-003].txt,6521,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
720816 — HCO Bulletin — Flubless CSing  [B012-142].txt,5175,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
580220 — HCO Bulletin — How to Test for Clear  [B022-021].txt,12264,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
690411 — HCO Bulletin — Dianetic Health Form  [B042-026].txt,1364,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
"800112 — HCO Bulletin — Page, Last Only  [B104-004].txt",380,16-10-24 22:02,0.9984,0.0016,Wahrscheinlich LRH,roberta-base
710616 Issue 4 — HCO Bulletin — Low TA Assessing  [B142-046].txt,1155,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
600119 — HCO Bulletin — Project Report Sheets  [B036-011].txt,302,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
620623 — HCO Bulletin — Model Session Revised  [B160-013].txt,5889,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
711031 — HCO Bulletin — CS Rules  [B046-042].txt,2166,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
630408 — HCO Bulletin — Routine 3M2 - Corrected Line Plots  [B063-013].txt,6999,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
690522 — HCO Bulletin — Notes on CS Instructions  [B159-027].txt,5136,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
580912 — HCO Bulletin — Post Case Analysis Routine  [B128-008].txt,616,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"581227 — HCO Bulletin — First First Dynamic Process, The  [B022-100].txt",1475,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
740321 — HCO Bulletin — End Phenomena  [B098-005].txt,5197,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
690719 — HCO Bulletin — Dianetics and Illness  [B042-115].txt,4638,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
"600114 — HCO Bulletin — Black Case, The  [B141-003].txt",4602,16-10-24 22:02,0.0025,0.9975,Wahrscheinlich Nicht-LRH,roberta-base
"600114 — HCO Bulletin — Black Case, The  [B024-009].txt",4560,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
620315 — HCO Bulletin — Suppressors  [B002-015].txt,8040,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
710523 Issue 06 — HCO Bulletin — Auditor Failure to Understand  [B011-061].txt,2733,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
710831 — HCO Bulletin — Confused Ideas  [B011-147].txt,2037,16-10-24 22:02,0.0034,0.9966,Wahrscheinlich Nicht-LRH,roberta-base
590224 — HCO Bulletin — Technical Bulletin - 'It is not only unreasonable...'  [B023-034].txt,1683,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
590907 — HCO Bulletin — 'Nina West our HCO WW US PE Foundation Director...'  [B133-053].txt,2476,16-10-24 22:02,0.0015,0.9985,Wahrscheinlich Nicht-LRH,roberta-base
601120 — HCO Bulletin — HAS Co-Audit Ended  [B114-041].txt,4076,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
690623 — HCO Bulletin — FN  [B042-096].txt,2985,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
600206 — HCO Bulletin — Effect Scale  [B036-030].txt,7908,16-10-24 22:02,0.0132,0.9868,Wahrscheinlich Nicht-LRH,roberta-base
781030R — HCO Bulletin — Courses - Their Ideal Scene  [B055-055].txt,5636,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
710307 — HCO Bulletin — Use of Quadruple Dianetics  [B044-022].txt,5304,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"650628 — HCO Bulletin — Releases, Different Kinds  [B040-061].txt",3348,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
740410 — HCO Bulletin — Stage Manners  [B098-007].txt,3885,16-10-24 22:02,0.0105,0.9895,Wahrscheinlich Nicht-LRH,roberta-base
581201 — HCO Bulletin — 'Permitted to Audit Engrams by Scientology Processes Are...'  [B022-087].txt,1891,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
600401 — HCO Bulletin — Route to Success in Scientology  [B036-064].txt,6887,16-10-24 22:02,0.2429,0.7571,Wahrscheinlich Nicht-LRH,roberta-base
650921 — HCO Bulletin — Qualifications Technical Actions  [B040-077].txt,488,16-10-24 22:02,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-base
701004 — HCO Bulletin — Case Supervisor Signature  [B043-103].txt,560,16-10-24 22:02,0.0062,0.9938,Wahrscheinlich Nicht-LRH,roberta-base
720409 Issue 03 — HCO Bulletin — Clearing List Words in Scientology - Expanded GF40RR  [B012-072].txt,2604,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
640817 — HCO Bulletin — R6 Co-Auditing - The Processing of End Words Only  [B168-035].txt,1955,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
791206R — HCO Bulletin — Solo Auditor Drills HCOB - Cancelled  [B055-065].txt,694,16-10-24 22:02,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-base
"631017 — HCO Bulletin — R-2C Slow Assessment by Dynamics - Directions for Use of HCO Technical Form of October 17, AD13  [B137-006].txt",4196,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
600922 — HCO Bulletin — Announcing New Technology  [B036-140].txt,2574,16-10-24 22:02,0.0027,0.9973,Wahrscheinlich Nicht-LRH,roberta-base
610417 — HCO Bulletin — Training Drills Modernized  [B135-004].txt,13739,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
590912 — HCO Bulletin — Programming  [B023-173].txt,8018,16-10-24 22:02,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-base
721216 — HCO Bulletin — Help the PC  [B050-085].txt,2445,16-10-24 22:02,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-base
810729 Issue 1 — HCO Bulletin — Full Assist Checklists for Injuries and Illnesses  [B056-077].txt,6034,16-10-24 22:02,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-base
720222 — HCO Bulletin — Word Clearing Method 4  [B165-055].txt,5662,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
641226 — HCO Bulletin — Routine 0A (Expanded)  [B073-005].txt,3896,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
720229 — HCO Bulletin — False TA Checklist  [B048-041].txt,3212,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
591231 — HCO Bulletin — Requirements for HAS Certificates  [B023-285].txt,877,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
590630 — HCO Bulletin — 'In a Scientology Organization...'  [B023-106].txt,2614,16-10-24 22:02,0.0030,0.9970,Wahrscheinlich Nicht-LRH,roberta-base
730610 Issue 2 — HCO Bulletin — How a Cramming Officer Gets His Products  [B051-043].txt,12078,16-10-24 22:02,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-base
651210 — HCO Bulletin — E-Meter Drill Coaching  [B040-097].txt,2258,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
690515 — HCO Bulletin — Dirty Needle  [B151-008].txt,674,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
710616 Issue 1RA — HCO Bulletin — Rapid TR-2  [B051-034].txt,2449,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
720902 — HCO Bulletin — Why Finding Drill - One  [B143-008].txt,5528,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
610706 — HCO Bulletin — Routine 1A  [B135-009].txt,4777,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
700625 Issue 3 — HCO Bulletin — Fishing a Realization  [B043-063].txt,4488,16-10-24 22:02,0.0017,0.9983,Wahrscheinlich Nicht-LRH,roberta-base
"710305 — HCO Bulletin — Fantastic New HGC Line, The  [B011-017].txt",13312,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
591005 — HCO Bulletin — When Is a Process Flat  [B026-007].txt,4370,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
690303 — HCO Bulletin — Case Gain - Completing Levels  [B159-010].txt,3083,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
720330 — HCO Bulletin — Primary Correction Rundown - First Cramming Correction  [B012-059].txt,7169,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
721224 Issue 3 — HCO Bulletin — Integrity Processing Form 03 - Auditor Integrity List  [B050-095].txt,5146,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
600825 — HCO Bulletin — Powerful Presession Additions  [B141-038].txt,3310,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
"750214R — HCO Bulletin — L10, L11 and L12 Prerequisites  [B099-001].txt",1702,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
701026 — HCO Bulletin — Further Remedy for PCs Unable to Go Backtrack  [B010-122].txt,820,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
"601125 — HCO Bulletin — New PE, The  [B024-230].txt",10217,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
650823 — HCO Bulletin — Abbreviations and Symbols of Dianetics and Scientology  [B031-021].txt,8614,16-10-24 22:02,0.0055,0.9945,Wahrscheinlich Nicht-LRH,roberta-base
630215 — HCO Bulletin — R2 - R3 - Listing Rules  [B003-007].txt,5251,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
840613 — HCO Bulletin — False Purpose Rundown Correction List  [B079-016].txt,20732,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
650604 — HCO Bulletin — Class II Model Session  [B005-013].txt,5979,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
630901 — HCO Bulletin — Routine 3SC  [B039-046].txt,10605,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
701201 — HCO Bulletin — Dianetics - Triple Flow Action  [B010-136].txt,2386,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
620329 — HCO Bulletin — CCHs Again - When to Use the CCHs  [B038-014].txt,5972,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
700615 — HCO Bulletin — Repair Example  [B043-051].txt,8751,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
590819 — HCO Bulletin — HAS Co-Audit - Finding Terminals  [B035-100].txt,1943,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
