Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
660610 — HCO Bulletin — S & D Commands  [B006-012].txt,0.00%,0.00%,96,Geeignet,0,0,527
820220 — HCO Bulletin — Overts  [B165-044].txt,0.00%,0.00%,56,Geeignet,0,0,360
801103 — HCO Bulletin — Exercise  [B056-048].txt,0.00%,0.00%,136,Geeignet,0,0,824
820810 — HCO Bulletin — OT Maxims  [B064-025].txt,0.00%,0.00%,335,Geeignet,0,0,1921
651119 — HCO Bulletin — Problems Process  [B031-036].txt,0.00%,0.00%,105,Geeignet,0,0,646
811024 — HCO Bulletin Attachment — Group Processing Session - ''Accept'' - ''Reject''  [B060-016].txt,0.08%,0.00%,1249,Geeignet,1,0,6794
811024 — HCO Bulletin Attachment — Group Processing Session - ''Accept'' - ''Reject''  [B056-083].txt,0.08%,0.00%,1248,Geeignet,1,0,6790
651021 — HCO Bulletin — Release Rehabilitation  [B148-016].txt,0.18%,0.73%,547,Geeignet,1,4,3188
690519 — HCO Bulletin — Drug and Alcohol Cases - Prior Assessing  [B042-069].txt,0.19%,0.19%,518,Geeignet,1,1,2891
690523 — HCO Bulletin — Auditing Out Sessions - Narrative versus Somatic Chains  [B042-077].txt,0.19%,0.00%,517,Geeignet,1,0,2946
611005 — HCO Bulletin — Clean Hands Make a Happy Life  [B161-021].txt,0.22%,0.11%,927,Geeignet,2,1,5166
710902 — HCO Bulletin — Words and Posts  [B045-035].txt,0.22%,0.22%,447,Geeignet,1,1,2526
820413 — HCO Bulletin — Still Needle and Confessionals  [B057-004].txt,0.25%,0.25%,402,Geeignet,1,1,2181
820413 — HCO Bulletin — Still Needle and Confessionals  [B064-017].txt,0.25%,0.25%,403,Geeignet,1,1,2179
"820506 — HCO Bulletin — Cause of Crime, The  [B064-020].txt",0.26%,0.26%,380,Geeignet,1,1,2250
"820506 — HCO Bulletin — Cause of Crime, The  [B057-007].txt",0.26%,0.26%,380,Geeignet,1,1,2249
710223 — HCO Bulletin — Gradient Scales  [B044-016].txt,0.26%,0.26%,390,Geeignet,1,1,2066
660822 — HCO Bulletin — Floating Needles - Listing Processes  [B041-015].txt,0.28%,0.00%,361,Geeignet,1,0,2075
610223 — HCO Bulletin — PT Problem and Goals  [B028-011].txt,0.29%,0.29%,350,Geeignet,1,1,1956
840610 — HCO Bulletin — False Purpose Rundown Commands  [B057-061].txt,0.29%,1.73%,346,Geeignet,1,6,1998
690701 — HCO Bulletin — High TA Assessment II  [B042-100].txt,0.30%,0.00%,329,Geeignet,1,0,1810
721115 Issue 2 — HCO Bulletin — Students Who Succeed  [B050-069].txt,0.31%,0.21%,972,Geeignet,3,2,5697
720403 — HCO Bulletin — Primary Rundown Note  [B012-063].txt,0.32%,0.95%,316,Geeignet,1,3,1806
690507 Issue 5 — HCO Bulletin — Floating Needle  [B151-005].txt,0.33%,0.00%,299,Geeignet,1,0,1578
690507 Issue 5 — HCO Bulletin — Floating Needle  [B129-001].txt,0.34%,0.00%,297,Geeignet,1,0,1562
"630306 — HCO Bulletin — Correction to HCO Bulletin of February 22, 1963  [B063-006].txt",0.34%,0.34%,290,Geeignet,1,1,1672
690507 Issue 5 — HCO Bulletin — Floating Needle  [B042-053].txt,0.34%,0.00%,296,Geeignet,1,0,1560
630722 — HCO Bulletin — You Can Be Right  [B087-003].txt,0.35%,0.00%,1982,Geeignet,7,0,11471
801104 Issue 4 — HCO Bulletin — Temperatures  [B056-052].txt,0.35%,0.35%,285,Geeignet,1,1,1685
"581227 — HCO Bulletin — First First Dynamic Process, The  [B022-102].txt",0.36%,0.36%,275,Geeignet,1,1,1493
690520 — HCO Bulletin — Keeping Dianetics Working in an Area  [B042-073].txt,0.36%,0.12%,834,Geeignet,3,1,4851
660205 — HCO Bulletin — S & D Warning  [B006-004].txt,0.36%,0.00%,823,Geeignet,3,0,4515
690402 — HCO Bulletin — Dianetic Assists  [B093-005].txt,0.36%,0.22%,1390,Geeignet,5,3,8447
801104 Issue 2 — HCO Bulletin — Vitamins  [B056-050].txt,0.37%,0.00%,270,Geeignet,1,0,1627
801104 Issue 2 — HCO Bulletin — Vitamins  [B059-028].txt,0.37%,0.00%,270,Geeignet,1,0,1625
601010 — HCO Bulletin — HGC Preclear Assessment  [B024-152].txt,0.39%,0.20%,509,Geeignet,2,1,2854
801104 Issue 3 — HCO Bulletin — Vitamin C  [B059-029].txt,0.39%,0.00%,259,Geeignet,1,0,1522
610921 — HCO Bulletin — Security Check Children - HCO WW Security Form 8  [B082-053].txt,0.39%,0.08%,1280,Geeignet,5,1,7169
801104 Issue 3 — HCO Bulletin — Vitamin C  [B056-051].txt,0.39%,0.00%,259,Geeignet,1,0,1523
650830 — HCO Bulletin — Art  [B168-029].txt,0.40%,0.00%,1502,Geeignet,6,0,9091
840201 — HCO Bulletin — How to ''View'' Art  [B057-043].txt,0.41%,0.08%,1219,Geeignet,5,1,6636
611005 — HCO Bulletin — Clean Hands Make a Happy Life  [B085-011].txt,0.42%,0.00%,945,Geeignet,4,0,5316
580630 — HCO Bulletin — Procedure for Certifying Clears  [B022-057].txt,0.42%,0.00%,237,Geeignet,1,0,1347
730810 — HCO Bulletin — PTS Handling  [B097-010].txt,0.43%,0.22%,1840,Geeignet,8,4,10201
651108 — HCO Bulletin — Suppressives and Hidden Standards  [B005-043].txt,0.44%,0.00%,457,Geeignet,2,0,2669
730108 — HCO Bulletin — Study and Education - Tape Amendment  [B143-013].txt,0.44%,0.87%,229,Geeignet,1,2,1309
610619 — HCO Bulletin — Sec Check Whole Track  [B082-049].txt,0.44%,0.09%,3158,Geeignet,14,3,18639
651108 — HCO Bulletin — Suppressives and Hidden Standards  [B031-032].txt,0.44%,0.00%,456,Geeignet,2,0,2669
730108 — HCO Bulletin — Study and Education - Tape Amendment  [B051-002].txt,0.44%,0.88%,226,Geeignet,1,2,1297
"811212 — HCO Bulletin — Theory of the New Grade Chart, The  [B060-024].txt",0.45%,0.11%,883,Geeignet,4,1,5298
610209 — HCO Bulletin — New Presession Data and Script Change  [B028-008].txt,0.45%,0.45%,224,Geeignet,1,1,1327
"811212 — HCO Bulletin — Theory of the New Grade Chart, The  [B056-092].txt",0.45%,0.11%,883,Geeignet,4,1,5298
590819 — HCO Bulletin — How to Handle Work  [B084-018].txt,0.46%,0.00%,649,Geeignet,3,0,3249
"651020 — HCO Bulletin — Level VI - R6EW Overrun Indicator, An  [B168-028].txt",0.46%,0.91%,439,Geeignet,2,4,2564
680119 — HCO Bulletin — S & Ds - S & Ds by Button  [B041-043].txt,0.47%,1.11%,632,Geeignet,3,7,3261
680805 — HCO Bulletin — Change of Commands - Overt-Motivator Sequence  [B070-006].txt,0.47%,0.00%,211,Geeignet,1,0,1179
680805 — HCO Bulletin — Change of Commands - Overt-Motivator Sequence  [B041-054].txt,0.47%,0.47%,212,Geeignet,1,1,1181
680805 — HCO Bulletin — Change of Commands - Overt-Motivator Sequence  [B008-026].txt,0.47%,0.00%,213,Geeignet,1,0,1185
670322 — HCO Bulletin — Alter-Is and Degraded Beings  [B069-002].txt,0.48%,0.16%,620,Geeignet,3,1,3691
840201 — HCO Bulletin — How to ''View'' Art  [B062-030].txt,0.49%,0.08%,1214,Geeignet,6,1,6615
570829 — HCO Bulletin — Government Project Stable Data  [B021-054].txt,0.49%,0.49%,206,Geeignet,1,1,1266
690914 Issue 2 — HCO Bulletin — Learning Processes - Education by Evaluation of Importance  [B042-137].txt,0.49%,0.24%,412,Geeignet,2,1,2418
840201 — HCO Bulletin — How to ''View'' Art  [B107-009].txt,0.49%,0.00%,1226,Geeignet,6,0,6760
820413 — HCO Bulletin — Still Needle and Confessionals  [B061-012].txt,0.50%,0.25%,402,Geeignet,2,1,2176
690514 Issue 2 — HCO Bulletin — FN and Erasure  [B009-077].txt,0.50%,0.00%,401,Geeignet,2,0,2234
601117 — HCO Bulletin — Starting Cases  [B027-083].txt,0.50%,0.33%,602,Geeignet,3,2,3337
601117 — HCO Bulletin — Starting Cases  [B140-044].txt,0.50%,0.33%,604,Geeignet,3,2,3343
721115 Issue 2 — HCO Bulletin — Students Who Succeed  [B012-192].txt,0.51%,0.21%,971,Geeignet,5,2,5681
630722 — HCO Bulletin — You Can Be Right  [B144-012].txt,0.51%,0.00%,1969,Geeignet,10,0,11322
730609 — HCO Bulletin — High Crime Checkout Expedited  [B013-019].txt,0.51%,1.02%,197,Geeignet,1,2,1181
690423 Issue 2 — HCO Bulletin — Dianetics - Erasure - How to Attain  [B009-043].txt,0.52%,0.00%,193,Geeignet,1,0,1152
840119 — HCO Bulletin — Happiness Rundown - Command Sheets  [B057-036].txt,0.52%,3.69%,12392,Geeignet,64,457,68513
650830 — HCO Bulletin — Art  [B031-022].txt,0.53%,0.00%,1501,Geeignet,8,0,9086
690528 Issue 2 — HCO Bulletin — Dianetics and Results - Dianetic Counseling Groups  [B093-021].txt,0.53%,0.00%,755,Geeignet,4,0,4333
610921 — HCO Bulletin — Security Check Children - HCO WW Security Form 8  [B164-004].txt,0.53%,0.46%,1312,Geeignet,7,6,7416
611005 — HCO Bulletin — Clean Hands Make a Happy Life  [B028-045].txt,0.54%,0.11%,927,Geeignet,5,1,5157
"650929 Issue 2 — HCO Bulletin — Continuing Overt Act, The  [B067-015].txt",0.54%,0.00%,926,Geeignet,5,0,5193
650819 — HCO Bulletin — Model Session Revised  [B031-020].txt,0.54%,0.00%,184,Geeignet,1,0,1033
610823 — HCO Bulletin — New Clearing Breakthrough!  [B037-053].txt,0.54%,1.09%,184,Geeignet,1,2,1124
720621 Issue 1 — HCO Bulletin — Method 5  [B012-130].txt,0.55%,0.55%,183,Geeignet,1,1,1023
610824 — HCO Bulletin — Valences Key to Clearing  [B161-018].txt,0.55%,0.27%,365,Geeignet,2,1,2046
690514 — HCO Bulletin — Sickness  [B009-075].txt,0.55%,0.11%,906,Geeignet,5,1,5279
780912 Issue 2 — HCO Bulletin — Overrun by Demanding Earlier Than There Is  [B074-017].txt,0.55%,0.00%,547,Geeignet,3,0,3084
600721 — HCO Bulletin — Some Help Terminals  [B114-026].txt,0.55%,0.00%,732,Geeignet,4,0,4301
660822 — HCO Bulletin — Floating Needles - Listing Processes  [B006-020].txt,0.56%,0.28%,360,Geeignet,2,1,2074
830808 — HCO Bulletin — Cycling through TRs on a Professional TR Course  [B061-053].txt,0.56%,0.19%,533,Geeignet,3,1,2944
660822 — HCO Bulletin — Floating Needles - Listing Processes  [B149-001].txt,0.56%,0.00%,359,Geeignet,2,0,2068
770926R — HCO Bulletin — Art and Communication  [B055-047].txt,0.56%,0.19%,1072,Geeignet,6,2,6274
830808 — HCO Bulletin — Cycling through TRs on a Professional TR Course  [B057-024].txt,0.56%,0.19%,535,Geeignet,3,1,2949
"650310 — HCO Bulletin — Words, Misunderstood Goofs  [B089-001].txt",0.56%,0.00%,539,Geeignet,3,0,3157
600616 — HCO Bulletin — Hints on Running Cases with Help  [B140-006].txt,0.56%,0.16%,1248,Geeignet,7,2,6992
570524 — HCO Bulletin — Stable Data for Instructors  [B021-024].txt,0.57%,0.29%,350,Geeignet,2,1,2110
840119 — HCO Bulletin — Happiness Rundown - Command Sheets  [B062-023].txt,0.57%,3.68%,12389,Geeignet,70,456,68580
641017 — HCO Bulletin — Clay Table Data  [B066-013].txt,0.57%,0.29%,349,Geeignet,2,1,1981
591013 — HCO Bulletin — DEI Expanded Scale (with a Note on Salesmen)  [B023-215].txt,0.58%,0.00%,692,Geeignet,4,0,4077
620630 — HCO Bulletin — ARC Process  [B116-004].txt,0.59%,0.59%,170,Geeignet,1,1,1022
600714 — HCO Bulletin — Current Rundown  [B036-112].txt,0.59%,0.08%,1179,Geeignet,7,1,7175
690406 — HCO Bulletin — Fundamental Auditing  [B075-008].txt,0.60%,0.20%,992,Geeignet,6,2,5897
610309 — HCO Bulletin — New Assessment Scale  [B028-014].txt,0.60%,0.60%,333,Geeignet,2,2,2040
600121 — HCO Bulletin — Justification  [B036-014].txt,0.60%,0.09%,1173,Geeignet,7,1,6651
660205 — HCO Bulletin — S & D Warning  [B068-003].txt,0.61%,0.00%,824,Geeignet,5,0,4507
711021 — HCO Bulletin — Assists in Scientology  [B052-037].txt,0.62%,0.07%,3057,Geeignet,19,2,17103
690505 Issue 1 — HCO Bulletin — Touch Assists  [B144-014].txt,0.62%,0.16%,642,Geeignet,4,1,3413
690712 Issue 4 — HCO Bulletin — Starting Dianetics on PCs Who Have Had Scientology Auditing  [B042-111].txt,0.62%,0.62%,162,Geeignet,1,1,907
"681226 — HCO Bulletin — Third Party Law, The  [B041-099].txt",0.62%,0.18%,1126,Geeignet,7,2,6474
581217 — HCO Bulletin — Basic Postulate of Overt Act - Motivator Sequence  [B022-092].txt,0.63%,0.63%,158,Geeignet,1,1,965
690914 Issue 5 — HCO Bulletin — Learning Processes - Education by Duplication and Repetition  [B042-139].txt,0.63%,0.00%,478,Geeignet,3,0,2811
680524 — HCO Bulletin — Coaching  [B158-003].txt,0.63%,0.09%,1114,Geeignet,7,1,6053
680524 — HCO Bulletin — Coaching  [B122-001].txt,0.63%,0.09%,1114,Geeignet,7,1,6054
"650929 Issue 2 — HCO Bulletin — Continuing Overt Act, The  [B119-006].txt",0.64%,0.00%,943,Geeignet,6,0,5383
"800730 — HCO Bulletin — Nature of a Being, The  [B059-016].txt",0.65%,0.11%,918,Geeignet,6,1,5184
620830 — HCO Bulletin — Missed Withhold Handling  [B029-033].txt,0.65%,0.11%,926,Geeignet,6,1,5434
770926R — HCO Bulletin — Art and Communication  [B058-024].txt,0.65%,0.09%,1082,Geeignet,7,1,6326
720403 — HCO Bulletin — Primary Rundown Note  [B049-001].txt,0.65%,0.65%,310,Geeignet,2,2,1790
"800730 — HCO Bulletin — Nature of a Being, The  [B056-037].txt",0.65%,0.11%,918,Geeignet,6,1,5179
690514 — HCO Bulletin — Sickness  [B075-040].txt,0.66%,0.22%,903,Geeignet,6,2,5246
721106 — HCO Bulletin — Illiteracy and Work  [B012-173].txt,0.67%,0.17%,598,Geeignet,4,1,3618
580915 — HCO Bulletin — More on Training Drill Two  [B022-072].txt,0.67%,0.45%,445,Geeignet,3,2,2501
650830 — HCO Bulletin — Art  [B005-028].txt,0.67%,0.00%,1500,Geeignet,10,0,9091
690312 Issue 2 — HCO Bulletin — Physically Ill PCs and Pre-OTs  [B042-014].txt,0.68%,0.00%,2804,Geeignet,19,0,16004
680504 — HCO Bulletin — Dianetic Courses - Stuck Pictures  [B008-013].txt,0.68%,0.34%,293,Geeignet,2,1,1618
801104 Issue 4 — HCO Bulletin — Temperatures  [B059-030].txt,0.70%,0.35%,286,Geeignet,2,1,1683
710625 — HCO Bulletin — Barriers to Study  [B044-088].txt,0.70%,0.09%,1150,Geeignet,8,1,6683
"671109 — HCO Bulletin — Revision of Remedy A, Remedy B, and S & Ds  [B007-016].txt",0.70%,0.61%,1149,Geeignet,8,7,6413
710816 Issue 2RA — HCO Bulletin Attachment — Comments and Originations for Use on TR4  [B055-025].txt,0.70%,0.00%,857,Geeignet,6,0,4558
610511 — HCO Bulletin — E-Meter Horror  [B028-025].txt,0.71%,0.36%,280,Geeignet,2,1,1596
610202 — HCO Bulletin — UK Cases Different  [B028-007].txt,0.71%,1.43%,421,Geeignet,3,6,2370
600721 — HCO Bulletin — Some Help Terminals  [B140-015].txt,0.72%,0.24%,836,Geeignet,6,2,4757
940504 — HCO Bulletin — Clear and Release  [B126-001].txt,0.72%,0.29%,695,Geeignet,5,2,3858
781231 Issue 3R — HCO Bulletin Attachment — PTS CS-1 Definitions Sheet  [B165-030].txt,0.72%,0.00%,557,Geeignet,4,0,3504
730330 Issue 1 — HCO Bulletin — Step 4 - Handling Originations  [B052-038].txt,0.72%,0.09%,1118,Geeignet,8,1,6145
600324 — HCO Bulletin — Goals in the Rudiments  [B139-054].txt,0.72%,0.06%,1669,Geeignet,12,1,9237
641101 Issue 2 — HCO Bulletin — Scientology VI - Provisional Class VI Classification Auditing Requirements  [B168-030].txt,0.72%,0.22%,1383,Geeignet,10,3,7827
650913 — HCO Bulletin — Out Tech and How to Get It In  [B148-014].txt,0.73%,0.14%,2183,Geeignet,16,3,11929
"581227 — HCO Bulletin — First First Dynamic Process, The  [B034-096].txt",0.73%,0.36%,274,Geeignet,2,1,1500
651114 — HCO Bulletin — Clearing Commands  [B005-044].txt,0.73%,0.00%,275,Geeignet,2,0,1541
710619 Issue 1 — HCO Bulletin — CS Rules  [B142-047].txt,0.73%,0.00%,412,Geeignet,3,0,2165
680114 — HCO Bulletin — S & D Type ''S'' Old Lists Over and Under Listing  [B008-005].txt,0.74%,0.49%,406,Geeignet,3,2,2352
690524 Issue 2 — HCO Bulletin — Dianetic High Crimes  [B009-090].txt,0.74%,0.37%,271,Geeignet,2,1,1543
801103 — HCO Bulletin — Exercise  [B059-026].txt,0.74%,0.00%,136,Geeignet,1,0,823
630705 — HCO Bulletin — ARC Break Assessments  [B003-034].txt,0.74%,0.37%,1614,Geeignet,12,6,9245
690524 Issue 2 — HCO Bulletin — Dianetic High Crimes  [B075-050].txt,0.74%,0.00%,270,Geeignet,2,0,1535
620702 — HCO Bulletin — Repetitive Rudiments - How to Get the Rudiments In  [B029-020].txt,0.74%,0.16%,1219,Geeignet,9,2,6682
680114 — HCO Bulletin — S & D Type ''S'' Old Lists Over and Under Listing  [B041-041].txt,0.74%,0.74%,403,Geeignet,3,3,2325
710102 — HCO Bulletin — Illegal Auditing  [B142-001].txt,0.75%,0.75%,134,Geeignet,1,1,835
650803 — HCO Bulletin — Auditing Goofs - Blowdown Interruption  [B005-024].txt,0.75%,0.00%,401,Geeignet,3,0,2155
680926 — HCO Bulletin — TR 0 Note  [B041-079].txt,0.75%,0.75%,399,Geeignet,3,3,2229
580827 — HCO Bulletin — Executives of Scientology Organizations  [B034-063].txt,0.75%,0.02%,4109,Geeignet,31,1,23443
830827 — HCO Bulletin — Words and Associations  [B057-026].txt,0.76%,0.38%,263,Geeignet,2,1,1675
630722 — HCO Bulletin — You Can Be Right  [B030-010].txt,0.76%,0.10%,1967,Geeignet,15,2,11273
830827 — HCO Bulletin — Words and Associations  [B061-055].txt,0.76%,0.38%,262,Geeignet,2,1,1675
590216 — HCO Bulletin — HGC Processes for Those Trained in Engram Running or Trained in These Processes  [B035-015].txt,0.76%,0.00%,661,Geeignet,5,0,3814
590216 — HCO Bulletin — HGC Processes for Those Trained in Engram Running or Trained in These Processes  [B145-002].txt,0.76%,0.00%,662,Geeignet,5,0,3818
820411 — HCO Bulletin — Sec Checking Implants  [B064-016].txt,0.76%,0.07%,1453,Geeignet,11,1,8500
691005 — HCO Bulletin — Triple Flows  [B159-048].txt,0.76%,0.11%,926,Geeignet,7,1,4784
"650929 Issue 2 — HCO Bulletin — Continuing Overt Act, The  [B031-027].txt",0.76%,0.00%,925,Geeignet,7,0,5196
820411 — HCO Bulletin — Sec Checking Implants  [B057-003].txt,0.76%,0.00%,1450,Geeignet,11,0,8456
"670819 — HCO Bulletin — Supreme Test, The  [B069-005].txt",0.76%,0.33%,923,Geeignet,7,3,5085
63XXXX — HCO Bulletin — Page 3 Only  [B039-066].txt,0.76%,0.00%,655,Geeignet,5,0,3635
"750325 — HCO Bulletin — Diet, Theory of a Natural Diet  [B053-024].txt",0.76%,0.11%,916,Geeignet,7,1,5429
720609 — HCO Bulletin — Grammar  [B049-052].txt,0.76%,0.00%,263,Geeignet,2,0,1525
630705 — HCO Bulletin — Routine R3R - Engram Running by Chains - List L3  [B039-028].txt,0.76%,0.38%,262,Geeignet,2,1,1539
"670819 — HCO Bulletin — Supreme Test, The  [B157-002].txt",0.76%,0.33%,923,Geeignet,7,3,5085
590819 — HCO Bulletin — How to Handle Work  [B023-136].txt,0.77%,0.15%,648,Geeignet,5,1,3251
710223 — HCO Bulletin — Gradient Scales  [B011-014].txt,0.77%,0.26%,390,Geeignet,3,1,2064
590819 — HCO Bulletin — How to Handle Work  [B023-137].txt,0.77%,0.00%,649,Geeignet,5,0,3278
"631126 — HCO Bulletin — New Triangle - Basic Auditing, Technique, Case Analysis, A  [B039-063].txt",0.78%,0.00%,1279,Geeignet,10,0,7265
591231 — HCO Bulletin — Blow-Offs  [B035-192].txt,0.78%,0.07%,1533,Geeignet,12,1,8624
600505 — HCO Bulletin — Help  [B036-081].txt,0.78%,0.00%,2700,Geeignet,21,0,15404
"620923 — HCO Bulletin — 40-Line List on a Doingness Goal, A  [B029-040].txt",0.78%,0.20%,510,Geeignet,4,1,2994
690522 — HCO Bulletin — Dianetics - Its Background  [B042-076].txt,0.78%,0.00%,1150,Geeignet,9,0,6916
600825 Issue 2 — HCO Bulletin — New Definition of Psychosis  [B141-039].txt,0.78%,0.00%,258,Geeignet,2,0,1482
630511 — HCO Bulletin — Routine 3 - Heaven  [B153-015].txt,0.78%,0.07%,2806,Geeignet,22,2,15783
620624 — HCO Bulletin — Prepchecking  [B063-003].txt,0.78%,0.13%,1533,Geeignet,12,2,8530
701210 Issue 1RA — HCO Bulletin — Clay Table Work in Training  [B094-039].txt,0.78%,0.00%,1666,Geeignet,13,0,9300
600818 — HCO Bulletin — Vital Information  [B027-066].txt,0.78%,0.20%,510,Geeignet,4,1,2908
"650630 — HCO Bulletin — Release, Rehabilitation of Former Releases and Thetan Exteriors  [B067-007].txt",0.79%,0.00%,630,Geeignet,5,0,3534
690423 Issue 3 — HCO Bulletin — Past Lives  [B159-016].txt,0.79%,0.00%,758,Geeignet,6,0,4343
610417 — HCO Bulletin — Training Drills Modernized  [B144-010].txt,0.79%,0.04%,2393,Geeignet,19,1,13950
"690507 Issue 4 — HCO Bulletin — Five GAEs, The  [B075-033].txt",0.79%,0.79%,127,Geeignet,1,1,749
690429 — HCO Bulletin — Assessment and Interest  [B042-043].txt,0.80%,0.27%,747,Geeignet,6,2,3966
840606 Issue 2 — HCO Bulletin — ''Murder Routine''  [B057-056].txt,0.80%,0.53%,376,Geeignet,3,2,2197
"660212 — HCO Bulletin — ''Dangerous Auditor'', The  [B068-006].txt",0.80%,0.00%,377,Geeignet,3,0,2175
570322 — HCO Bulletin — 'We are in the process of getting our organizational chart...'  [B021-010].txt,0.80%,0.00%,125,Geeignet,1,0,691
610427 — HCO Bulletin — Change Processes  [B161-011].txt,0.80%,0.16%,626,Geeignet,5,1,3628
600505 — HCO Bulletin — Help  [B114-012].txt,0.81%,0.00%,2706,Geeignet,22,0,15598
630722 — HCO Bulletin — You Can Be Right  [B153-034].txt,0.81%,0.05%,1967,Geeignet,16,1,11274
680905 — HCO Bulletin — Handling Student Dope Off  [B008-042].txt,0.81%,0.49%,616,Geeignet,5,3,3711
690607 — HCO Bulletin — How to Make a Person Sober  [B075-057].txt,0.81%,0.00%,371,Geeignet,3,0,2122
580206 — HCO Bulletin — HGC Clear Procedure Outline - Part 2 - CCH 0b - Help in Full  [B022-017].txt,0.82%,0.82%,244,Geeignet,2,2,1385
580912 Issue 2 — HCO Bulletin — Havingness - New Commands  [B071-014].txt,0.82%,0.00%,122,Geeignet,1,0,748
690303 — HCO Bulletin — Case Gain - Completing Levels  [B159-010].txt,0.83%,0.17%,603,Geeignet,5,1,3083
610824 — HCO Bulletin — Valences Key to Clearing  [B001-070].txt,0.83%,0.00%,362,Geeignet,3,0,2030
601103 — HCO Bulletin — Failed Help  [B036-166].txt,0.83%,0.21%,483,Geeignet,4,1,2564
690520 — HCO Bulletin — Keeping Dianetics Working in an Area  [B075-044].txt,0.83%,0.00%,839,Geeignet,7,0,4869
