Dateiname,Dateigröße,Datum,albert-base-v2,deberta-base,distilbert-base-uncased,roberta-base,roberta-large,Mittelwert
"561004 — HCO Bulletin — Handling of Hubbard Communications Offices, The  [B033-022].txt",15775,17-10-24 14:51,0,0,2,0,99,20
561004 — HCO Bulletin — High School Indoctrination  [B020-020].txt,5286,17-10-24 14:51,46,0,1,2,99,29
561004 — HCO Bulletin — High School Indoctrination  [B033-021].txt,5278,17-10-24 14:51,99,0,1,0,99,39
561015 — HCO Bulletin — Summary Research Project  [B020-024].txt,1572,17-10-24 14:51,0,0,0,0,18,3
561015 — HCO Bulletin — Summary Research Project  [B033-023].txt,1560,17-10-24 14:52,0,0,0,0,0,0
561015 — HCO Bulletin — Summary Research Project  [B144-001].txt,1543,17-10-24 14:51,99,89,1,0,99,57
561026 — HCO Bulletin — HPA-HCA Training Processes  [B020-025].txt,3332,17-10-24 14:52,0,0,1,0,17,3
561026 — HCO Bulletin — HPA-HCA Training Processes  [B033-024].txt,3358,17-10-24 14:51,0,0,1,0,36,7
561109 — HCO Bulletin — Activities of Legal Department  [B020-027].txt,659,17-10-24 14:51,0,0,1,0,0,0
561109 — HCO Bulletin — Activities of Legal Department  [B033-025].txt,663,17-10-24 14:51,8,0,10,0,6,4
561114 — HCO Bulletin — Reorganization Washington Operation  [B020-028].txt,8049,17-10-24 14:51,0,0,0,0,44,8
561115 — HCO Bulletin — HGC Preclear Complaints  [B020-029].txt,218,17-10-24 14:52,0,0,2,0,0,0
561115 — HCO Bulletin — HGC Preclear Complaints  [B033-026].txt,227,17-10-24 14:51,0,0,3,0,0,0
561129 — HCO Bulletin — Filing  [B020-030].txt,949,17-10-24 14:52,0,1,1,0,0,0
561130 — HCO Training Bulletin — SLP 8  [B020-031].txt,7162,17-10-24 14:51,0,0,1,0,0,0
561130 — HCO Training Bulletin — SLP 8  [B033-027].txt,6791,17-10-24 14:52,0,0,1,0,0,0
561203 — HCO Bulletin — BScn - HAA Techniques  [B020-032].txt,880,17-10-24 14:52,0,0,2,0,99,20
561203 — HCO Bulletin — BScn - HAA Techniques  [B033-028].txt,880,17-10-24 14:51,0,0,2,0,99,20
570206 — HCO Training Bulletin — Procedure CCH  [B021-001].txt,12399,17-10-24 14:52,28,0,1,4,99,26
570206 — HCO Training Bulletin — Procedure CCH  [B033-029].txt,12395,17-10-24 14:52,9,0,1,4,100,22
570222 — HCO Bulletin — Policy of Mail Handling for Prospective Preclears and Students  [B021-002].txt,1267,17-10-24 14:51,0,0,0,0,0,0
570222 — HCO Bulletin — Policy of Mail Handling for Prospective Preclears and Students  [B033-030].txt,1275,17-10-24 14:51,0,0,1,0,0,0
570228 — HCO Bulletin — Hats  [B021-003].txt,1208,17-10-24 14:52,19,0,7,45,99,34
570228 — HCO Bulletin — Hats  [B033-031].txt,1204,17-10-24 14:51,19,0,3,2,99,24
570305 — HCO Bulletin — Student Reports  [B021-004].txt,820,17-10-24 14:52,0,0,0,0,0,0
570305 — HCO Bulletin — Student Reports  [B021-005].txt,353,17-10-24 14:52,0,0,7,0,0,1
570305 — HCO Bulletin — Student Reports  [B033-032].txt,354,17-10-24 14:51,1,0,7,0,0,1
570308 — HCO Bulletin — Goal of Indoctrination Course  [B021-006].txt,524,17-10-24 14:52,1,0,11,0,6,3
570308 — HCO Bulletin — Goal of Indoctrination Course  [B033-033].txt,524,17-10-24 14:51,1,0,12,0,5,3
570320 — HCO Bulletin — 'I wish to thank the staff of the Founding Church...'  [B021-007].txt,547,17-10-24 14:51,0,0,1,0,0,0
570320 — HCO Bulletin — Book Project  [B021-008].txt,452,17-10-24 14:52,0,0,2,0,6,1
570322 — HCO Bulletin — 'I am asking for a large favor from all of you...'  [B021-009].txt,1181,17-10-24 14:51,0,0,1,0,0,0
570322 — HCO Bulletin — 'We are in the process of getting our organizational chart...'  [B021-010].txt,691,17-10-24 14:52,0,0,2,0,0,0
570406 — HCO Bulletin — Central Files and Procurement  [B021-012].txt,38677,17-10-24 14:52,99,0,1,1,99,40
570406 — HCO Bulletin — Central Files and Procurement  [B033-034].txt,38074,17-10-24 14:52,33,0,2,13,99,29
570408 — HCO Bulletin — Group Auditing  [B021-013].txt,2873,17-10-24 14:52,5,0,1,0,99,21
570408 — HCO Bulletin — Group Auditing  [B033-035].txt,2875,17-10-24 14:51,2,0,1,0,99,20
570408 — HCO Bulletin — Group Auditing  [B127-001].txt,2962,17-10-24 14:51,0,0,1,0,99,20
570409 — HCO London Bulletin — List of ''Purposes''  [B021-014].txt,3360,17-10-24 14:51,1,0,77,99,100,55
570410 — HCO Bulletin — Director of Training  [B021-015].txt,1039,17-10-24 14:52,0,0,3,0,0,0
570410 — HCO Bulletin — HPA-HCA Course Curriculum  [B033-036].txt,1029,17-10-24 14:51,0,0,15,0,1,3
570430 — HCO Bulletin — Issue Authority for Mimeo  [B021-016].txt,301,17-10-24 14:51,0,0,1,0,0,0
570430 — HCO Bulletin — Issue Authority for Mimeo  [B021-017].txt,354,17-10-24 14:51,2,0,8,1,1,2
570503 — HCO Bulletin — Training - What It Is Today - How We Tell People about It  [B021-018].txt,1880,17-10-24 14:52,0,0,1,0,0,0
570503 — HCO Bulletin — Training - What It Is Today - How We Tell People about It  [B021-019].txt,1821,17-10-24 14:52,0,0,1,0,92,18
570503 — HCO Bulletin — Training - What It Is Today - How We Tell People about It  [B033-037].txt,1864,17-10-24 14:52,0,0,0,0,0,0
570503 — HCO Bulletin — Training - What It Is Today - How We Tell People about It  [B033-038].txt,1907,17-10-24 14:52,0,0,1,0,0,0
570509 — HCO Bulletin — Mail  [B021-020].txt,1305,17-10-24 14:51,0,0,1,0,0,0
570509 — HCO Bulletin — Mail  [B033-039].txt,1296,17-10-24 14:51,1,0,38,0,98,27
570517 — HCO Training Bulletin — Definitions  [B021-021].txt,619,17-10-24 14:52,4,0,5,0,0,1
570517 — HCO Training Bulletin — Definitions  [B021-022].txt,682,17-10-24 14:51,1,0,4,0,2,1
570517 — HCO Training Bulletin — Definitions  [B033-041].txt,680,17-10-24 14:51,2,0,7,0,51,12
570520 — HCO Training Bulletin — Interim Process  [B021-023].txt,1779,17-10-24 14:52,0,2,1,0,1,0
570520 — HCO Training Bulletin — Interim Process  [B033-042].txt,1853,17-10-24 14:51,0,0,1,0,99,20
570524 — HCO Bulletin — Stable Data for Instructors  [B021-024].txt,2110,17-10-24 14:52,0,0,2,1,99,20
"570601 — HCO Information Bulletin — Rights of the Directors of Training and Processing, Staff Auditors and Instructors Regarding Preclears and Students  [B021-025].txt",2617,17-10-24 14:51,0,0,1,0,77,15
570603 — HCO Bulletin — 'Herbie Parkhouse over in London...'  [B021-026].txt,1616,17-10-24 14:52,0,0,1,0,0,0
570603 — HCO Bulletin — 'Herbie Parkhouse over in London...'  [B033-043].txt,1596,17-10-24 14:51,0,0,1,0,0,0
570603 — HCO Bulletin — Explanation of Aberrative Character of Radiation  [B021-027].txt,1558,17-10-24 14:51,5,0,1,0,99,21
"570608 — HCO Bulletin — Teaching of the 18th ACC, The  [B021-028].txt",7459,17-10-24 14:51,0,0,1,0,99,20
"570608 — HCO Bulletin — Teaching of the 18th ACC, The  [B033-044].txt",7502,17-10-24 14:51,0,0,1,0,1,0
570610 — HCO Processing Bulletin — What to Tell New HGC Auditors to Process on Preclears  [B021-029].txt,913,17-10-24 14:52,0,0,1,0,0,0
570611 — HCO Bulletin — Training and CCH Processes  [B012-111].txt,41618,17-10-24 14:52,0,0,1,0,99,20
570611 — HCO Bulletin — Training and CCH Processes  [B021-030].txt,40463,17-10-24 14:51,1,1,1,2,99,20
570611 — HCO Bulletin — Training and CCH Processes  [B033-040].txt,41612,17-10-24 14:52,0,0,1,0,99,20
570611 — HCO Bulletin — Training and CCH Processes  [B049-047].txt,41495,17-10-24 14:51,0,0,1,0,99,20
570611 — HCO Bulletin — Training and CCH Processes  [B127-002].txt,36460,17-10-24 14:52,1,0,1,0,99,20
570611 — HCO Bulletin — Training and CCH Processes  [B127-003].txt,41650,17-10-24 14:51,0,0,1,1,99,20
570611 — HCO Bulletin — Training and CCH Processes (Plus Correction Sheet)  [Misc18-002].txt,44610,17-10-24 14:52,2,0,1,1,99,20
570611 — HCO Training Bulletin — Training and CCH Processes  [B021-033].txt,8146,17-10-24 14:51,18,0,1,11,99,25
570611 — HCO Training Bulletin — Training and CCH Processes  [B021-038].txt,40713,17-10-24 14:51,46,0,1,0,99,29
570616 — HCO Bulletin — People's Questions  [B021-035].txt,470,17-10-24 14:52,28,0,93,99,99,63
570616 — HCO Bulletin — People's Questions  [B033-045].txt,467,17-10-24 14:52,25,0,93,99,99,63
570701 — HCO Bulletin — Addition to the Auditor's Code  [B021-036].txt,275,17-10-24 14:51,17,0,80,44,17,31
570715 — HCO Training Bulletin — 8C on Students  [B021-039].txt,542,17-10-24 14:51,1,0,14,0,0,3
570715 — HCO Training Bulletin — 8C on Students  [B033-046].txt,596,17-10-24 14:51,1,0,63,2,84,30
570717 — HCO Training Bulletin — Changes in Training Drills  [B021-040].txt,2557,17-10-24 14:51,0,0,0,0,0,0
570729 — HCO Bulletin — Withholds and Communication  [B021-041].txt,3231,17-10-24 14:51,0,0,1,0,99,20
570729 — HCO Bulletin — Withholds and Communication  [B033-047].txt,3202,17-10-24 14:52,0,0,1,0,0,0
570731 — HCO Bulletin — 'More workable commands for testing'  [B021-042].txt,349,17-10-24 14:52,0,0,3,0,0,0
570731 — HCO Bulletin — 'More workable commands for testing'  [B033-048].txt,333,17-10-24 14:51,0,0,1,0,0,0
570829 — HCO Bulletin — Government Project Stable Data  [B021-054].txt,1266,17-10-24 14:52,41,0,16,64,99,44
570829 — HCO Bulletin — Government Project Stable Data  [B033-049].txt,1204,17-10-24 14:51,0,0,1,0,0,0
570831 — HCO Bulletin — Hat Folders  [B021-055].txt,1104,17-10-24 14:52,1,0,1,0,5,1
570902 — HCO Bulletin — 'When a verbal direction is given...'  [B021-057].txt,598,17-10-24 14:51,2,0,6,0,0,1
570902 — HCO Bulletin — 'When a verbal direction is given...'  [B033-050].txt,661,17-10-24 14:51,0,0,10,60,99,33
570903 — HCO Training Bulletin — HPA-HCA Course Processes  [B021-058].txt,1505,17-10-24 14:52,0,0,2,0,0,0
570903 — HCO Training Bulletin — HPA-HCA Course Processes  [B033-051].txt,1510,17-10-24 14:51,0,0,2,0,1,0
570904 — HCO Training Bulletin — Stable Data for Instructors  [B021-059].txt,2245,17-10-24 14:52,0,0,1,0,0,0
570904 — HCO Training Bulletin — Stable Data for Instructors  [B033-052].txt,1760,17-10-24 14:52,0,0,0,0,0,0
570909 — HCO Bulletin — Processes to Be Run on HGC Preclears from This Date  [B021-060].txt,7684,17-10-24 14:52,0,0,0,0,0,0
570909 — HCO Bulletin — Processes to Be Run on HGC Preclears from This Date  [B033-053].txt,7700,17-10-24 14:51,0,0,1,0,0,0
"570917 — HCO Bulletin — Correction of HCO Procedure Letter of September 3, 1957  [B021-061].txt",396,17-10-24 14:52,5,0,54,0,24,16
"570917 — HCO Bulletin — Correction of HCO Procedure Letter of September 3, 1957  [B033-054].txt",457,17-10-24 14:51,11,0,89,91,99,58
570920 — HCO Bulletin — Dissemination by Articles in Magazines  [B021-062].txt,16743,17-10-24 14:52,99,0,1,83,99,56
570920 — HCO Bulletin — Dissemination by Articles in Magazines  [B033-055].txt,16891,17-10-24 14:52,99,0,2,75,99,55
570924 — HCO Training Bulletin — Curriculum of CCH Class  [B021-063].txt,390,17-10-24 14:52,3,0,28,84,99,42
570924 — HCO Training Bulletin — Curriculum of CCH Class  [B033-056].txt,403,17-10-24 14:51,1,0,80,73,99,50
571102 — HCO Training Bulletin — Intensive Processes for Use in Operation Clear and Operation Staff Clear (Confidential)  [B021-070].txt,2213,17-10-24 14:52,0,0,0,0,0,0
571102 — HCO Training Bulletin — Intensive Processes for Use in Operation Clear and Operation Staff Clear (Confidential)  [B033-058].txt,1843,17-10-24 14:51,0,0,1,0,0,0
"571102RA — HCO Bulletin — Objective Rundown, An  [B053-017].txt",3002,17-10-24 14:51,0,0,1,0,0,0
"571102RA — HCO Bulletin — Objective Rundown, An  [B127-007].txt",2998,17-10-24 14:52,0,0,1,0,0,0
"571102RA — HCO Bulletin — Objective Rundown, An  [B127-008].txt",2743,17-10-24 14:51,0,0,0,0,0,0
"571102RA — HCO Bulletin — Objective Rundown, An  [B127-009].txt",2973,17-10-24 14:51,0,0,1,0,0,0
571113 — HCO Bulletin — Project Clear Check Sheet  [B021-071].txt,4175,17-10-24 14:52,0,0,0,0,0,0
571113 — HCO Bulletin — Project Clear Check Sheet  [B033-059].txt,4204,17-10-24 14:51,0,0,0,0,0,0
571121 — HCO Bulletin — Flow Line for Personnel  [B021-072].txt,779,17-10-24 14:51,1,0,4,0,0,1
571130 — HCO Bulletin — Alternate Clear Sheet  [B021-073].txt,6050,17-10-24 14:52,0,0,1,0,0,0
571130 — HCO Bulletin — Alternate Clear Sheet  [B033-060].txt,6054,17-10-24 14:52,0,92,1,0,99,38
571203 — HCO Bulletin — Clear Procedure  [B021-074].txt,6936,17-10-24 14:52,4,0,2,0,87,18
571203 — HCO Bulletin — Clear Procedure  [B033-061].txt,6949,17-10-24 14:51,13,1,4,0,99,23
571204 — HCO Bulletin — Clear Procedure Continued - Step One - Participation in Session by the PC  [B021-075].txt,20759,17-10-24 14:51,24,0,1,1,99,25
571204 — HCO Bulletin — Clear Procedure Continued - Step One - Participation in Session by the PC  [B033-062].txt,20727,17-10-24 14:52,1,0,1,2,99,20
571207 — HCO Bulletin — HGC Procedure  [B021-076].txt,3933,17-10-24 14:52,0,0,1,0,0,0
571207 — HCO Bulletin — HGC Procedure  [B033-063].txt,4042,17-10-24 14:52,0,0,1,0,0,0
571207 — HCO Bulletin — HGC Procedure  [B071-007].txt,3929,17-10-24 14:51,0,0,1,0,0,0
571216 — HCO Bulletin — Present Time Problem  [B021-077].txt,2578,17-10-24 14:52,0,0,1,0,47,9
571216 — HCO Bulletin — Present Time Problem  [B033-064].txt,2569,17-10-24 14:51,0,0,1,0,85,17
571216 — HCO Bulletin — Present Time Problem  [B071-008].txt,2584,17-10-24 14:51,0,0,2,0,86,17
"571218 — HCO Bulletin — Psychosis, Neurosis and Psychiatrists  [B021-078].txt",9270,17-10-24 14:51,99,1,4,96,99,59
"571218 — HCO Bulletin — Psychosis, Neurosis and Psychiatrists  [B033-065].txt",9207,17-10-24 14:51,9,0,1,22,99,26
580113 — HCO Bulletin — HGC Running of PCs  [B022-002].txt,1865,17-10-24 14:51,0,0,0,0,0,0
580113 — HCO Bulletin — HGC Running of PCs  [B034-003].txt,1878,17-10-24 14:51,0,0,1,0,0,0
580115 — HCO Bulletin — Field Office Communication  [B022-003].txt,1455,17-10-24 14:51,0,0,1,0,99,20
580115 — HCO Bulletin — Field Office Communication  [B034-004].txt,1612,17-10-24 14:52,9,0,11,85,99,40
580118 — HCO Bulletin — Control  [B022-004].txt,527,17-10-24 14:52,0,0,1,0,0,0
580118 — HCO Bulletin — Control  [B034-005].txt,547,17-10-24 14:52,0,0,2,0,5,1
580121 — HCO Bulletin — ACCs - HPA-HCA  [B022-005].txt,519,17-10-24 14:52,0,0,2,0,0,0
580121 — HCO Bulletin — ACCs - HPA-HCA  [B034-006].txt,533,17-10-24 14:52,0,0,1,0,0,0
580121 — HCO Bulletin — MEST Clear Procedure  [B022-006].txt,3112,17-10-24 14:51,0,0,0,0,0,0
580121 — HCO Bulletin — MEST Clear Procedure  [B034-007].txt,3085,17-10-24 14:51,0,0,1,0,11,2
580124 — HCO Bulletin — Subject - Outline of the Activities of the HCO Office of L. Ron Hubbard  [B022-008].txt,2520,17-10-24 14:52,94,0,8,7,99,41
580124 — HCO Bulletin — Subject - Outline of the Activities of the HCO Office of L. Ron Hubbard  [B022-009].txt,2444,17-10-24 14:52,1,0,10,2,99,22
580124 — HCO Bulletin — Subject - Outline of the Activities of the HCO Office of L. Ron Hubbard  [B034-008].txt,2521,17-10-24 14:52,89,0,4,23,99,43
580124 — HCO Bulletin — Subject - Outline of the Activities of the HCO Office of L. Ron Hubbard  [B034-056].txt,2999,17-10-24 14:51,3,99,1,1,99,40
580125 — HCO Bulletin — Reviewing Week's Profiles  [B022-010].txt,570,17-10-24 14:51,0,0,1,0,0,0
580125 — HCO Bulletin — Reviewing Week's Profiles  [B034-009].txt,592,17-10-24 14:51,0,0,1,0,0,0
580126 — HCO Bulletin — Future Plans  [B022-011].txt,2475,17-10-24 14:52,0,0,0,0,0,0
580126 — HCO Bulletin — Future Plans  [B034-010].txt,2498,17-10-24 14:52,0,0,0,0,0,0
580127 — HCO Bulletin — Duties of Personnel Post  [B022-012].txt,2510,17-10-24 14:52,0,0,1,0,0,0
580127 — HCO Bulletin — Duties of Personnel Post  [B034-011].txt,2656,17-10-24 14:52,0,0,1,0,2,0
580201 — HCO Bulletin — Clearing of Fields  [B022-013].txt,4857,17-10-24 14:51,0,0,0,0,11,2
580201 — HCO Bulletin — Clearing of Fields  [B034-012].txt,4815,17-10-24 14:52,0,0,1,0,0,0
580203 — HCO Bulletin — Free Clearing Project  [B022-015].txt,1610,17-10-24 14:52,1,0,2,1,99,20
580203 — HCO Bulletin — HGC Current Procedure  [B022-014].txt,3258,17-10-24 14:52,0,0,1,0,0,0
580203 — HCO Bulletin — HGC Current Procedure  [B034-013].txt,3261,17-10-24 14:52,0,0,1,0,0,0
580206 — HCO Bulletin — HGC Clear Procedure Outline - Part 2 - CCH 0b - Help in Full  [B022-017].txt,1385,17-10-24 14:51,0,0,1,0,99,20
580206 — HCO Bulletin — HGC Clear Procedure Outline - Part 2 - CCH 0b - Help in Full  [B034-015].txt,1414,17-10-24 14:52,0,0,1,0,2,0
580206 — HCO Bulletin — HGC Clear Procedure Outline - Part 2 - CCH 0b - Help in Full  [B144-002].txt,4355,17-10-24 14:52,0,0,1,0,0,0
"580206 — HCO Bulletin — HGC Clear Procedure Outline of February 6, AD8  [B022-016].txt",2358,17-10-24 14:52,0,0,0,0,0,0
"580206 — HCO Bulletin — HGC Clear Procedure Outline of February 6, AD8  [B034-014].txt",2485,17-10-24 14:52,0,0,0,0,0,0
"580206 — HCO Bulletin — HGC Clear Procedure Outline of February 6, AD8  [B071-010].txt",2360,17-10-24 14:52,0,0,0,0,0,0
580208 — HCO Bulletin — Clear Test  [B022-018].txt,665,17-10-24 14:52,0,0,1,0,0,0
580213 — HCO Bulletin — Rules Governing the Running of CCH 0b ''Help''  [B022-019].txt,792,17-10-24 14:51,0,0,0,0,0,0
580213 — HCO Bulletin — Rules Governing the Running of CCH 0b ''Help''  [B022-020].txt,894,17-10-24 14:51,0,0,1,0,99,20
580213 — HCO Bulletin — Rules Governing the Running of CCH 0b ''Help''  [B034-016].txt,887,17-10-24 14:52,0,0,1,0,81,16
580220 — HCO Bulletin — How to Test for Clear  [B022-021].txt,12264,17-10-24 14:51,1,0,1,0,99,20
580220 — HCO Bulletin — How to Test for Clear  [B034-017].txt,11911,17-10-24 14:51,0,0,1,0,93,18
580225 — HCO Bulletin — Routing of Communication  [B022-022].txt,945,17-10-24 14:52,0,0,1,0,0,0
580225 — HCO Bulletin — Routing of Communication  [B034-018].txt,967,17-10-24 14:52,0,0,2,0,98,20
580301 — HCO Bulletin — Processes  [B022-023].txt,781,17-10-24 14:52,1,0,8,0,99,21
580301 — HCO Bulletin — Processes  [B071-011].txt,781,17-10-24 14:52,1,0,7,10,99,23
"580304 — HCO Bulletin — Addition to HASI Policy Letter of Feb 8, 1958  [B022-024].txt",432,17-10-24 14:51,0,0,2,0,0,0
"580304 — HCO Bulletin — Addition to HASI Policy Letter of Feb 8, 1958  [B034-019].txt",427,17-10-24 14:52,0,0,2,0,1,0
580317 — HCO Bulletin — Body Routing in Central Organizations  [B022-028].txt,3203,17-10-24 14:52,0,0,1,0,0,0
580317 — HCO Bulletin — Body Routing in Central Organizations  [B034-023].txt,3173,17-10-24 14:52,0,0,1,0,0,0
580322 — HCO Bulletin — Clearing Reality  [B022-029].txt,1045,17-10-24 14:51,0,0,1,0,3,0
580322 — HCO Bulletin — Clearing Reality  [B034-024].txt,1046,17-10-24 14:51,0,0,1,0,8,1
580322 — HCO Bulletin — Clearing Reality  [B132-001].txt,1111,17-10-24 14:52,0,0,1,0,99,20
580328 — HCO Bulletin — Only Organization Offices Can Certify Clears  [B022-032].txt,1432,17-10-24 14:52,0,0,1,0,0,0
580328 — HCO Bulletin — Only Organization Offices Can Certify Clears  [B034-026].txt,1439,17-10-24 14:52,0,12,1,0,0,2
580402 — HCO Bulletin — ARC in Comm Course  [B022-033].txt,1581,17-10-24 14:51,0,0,1,0,0,0
580402 — HCO Bulletin — ARC in Comm Course  [B034-027].txt,1581,17-10-24 14:52,0,0,1,0,0,0
580402 — HCO Bulletin — ARC in Comm Course  [B132-002].txt,1640,17-10-24 14:52,0,0,1,0,0,0
"580408 Issue 2 — HCO Bulletin — Pair of Processes, A  [B022-036].txt",1511,17-10-24 14:52,0,0,1,0,0,0
"580408 Issue 2 — HCO Bulletin — Pair of Processes, A  [B034-030].txt",1523,17-10-24 14:51,0,0,2,0,9,2
"580408 Issue 2 — HCO Bulletin — Pair of Processes, A  [B084-027].txt",1511,17-10-24 14:52,0,0,1,0,0,0
"580408 Issue 2 — HCO Bulletin — Pair of Processes, A  [B084-028].txt",1512,17-10-24 14:52,0,0,1,0,0,0
"580408 Issue 2 — HCO Bulletin — Pair of Processes, A  [B128-001].txt",1522,17-10-24 14:52,0,0,1,0,0,0
"580408 Issue 2 — HCO Bulletin — Pair of Processes, A  [B128-002].txt",1522,17-10-24 14:51,0,0,2,0,3,1
580408 — HCO Bulletin — Auditing the PC on Clear Procedure  [B022-035].txt,3362,17-10-24 14:51,0,0,1,0,2,0
580408 — HCO Bulletin — Auditing the PC on Clear Procedure  [B034-029 ].txt,3383,17-10-24 14:52,0,4,1,0,0,1
580408 — HCO Bulletin — Auditing the PC on Clear Procedure  [B084-029].txt,3353,17-10-24 14:52,0,34,1,0,94,25
580408 — HCO Bulletin — Auditing the PC on Clear Procedure  [B084-030].txt,3334,17-10-24 14:51,0,2,0,0,8,2
580411 — HCO Bulletin — 'The regulation applying to staff auditors...'  [B022-038].txt,1107,17-10-24 14:52,0,0,12,10,99,24
580411 — HCO Bulletin — 'The regulation applying to staff auditors...'  [B034-031].txt,1109,17-10-24 14:51,0,0,11,12,99,24
580411 — HCO Bulletin — CCH 88 - Enforced Nothingness  [B022-037].txt,1840,17-10-24 14:52,0,0,1,0,99,20
580411 — HCO Bulletin — CCH 88 - Enforced Nothingness  [B034-032].txt,1854,17-10-24 14:52,0,0,1,0,99,20
580412 — HCO Bulletin — 'John Sanborn...'  [B022-039].txt,340,17-10-24 14:52,0,0,10,90,99,39
580423 — HCO Bulletin — All Training Activities  [B034-033].txt,681,17-10-24 14:52,0,0,2,0,0,0
580423 — HCO Bulletin — Vital Training Data for Training Hats and Registrar  [B022-041].txt,685,17-10-24 14:52,0,0,1,0,0,0
580425 — HCO Bulletin — Hat Folders  [B022-042].txt,1412,17-10-24 14:52,0,0,1,0,8,1
580501 — HCO Bulletin — Signs of Success  [B022-043].txt,799,17-10-24 14:51,0,0,1,0,1,0
580501 — HCO Bulletin — Signs of Success  [B034-034].txt,786,17-10-24 14:51,0,0,2,0,1,0
580501 — HCO Bulletin — Signs of Success  [B055-002].txt,898,17-10-24 14:52,6,0,3,45,99,30
580501 — HCO Bulletin — Signs of Success  [B062-002].txt,895,17-10-24 14:51,4,0,2,60,99,33
580502 — HCO Bulletin — Beingness Again  [B022-044].txt,6075,17-10-24 14:52,3,0,2,10,86,20
580502 — HCO Bulletin — Beingness Again  [B022-045].txt,5517,17-10-24 14:51,27,9,1,97,99,46
580502 — HCO Bulletin — Beingness Again  [B034-035].txt,6050,17-10-24 14:51,99,5,3,77,99,56
